date,committee,question,project,responsible,attendees,theme
2025-06-30,Aplinkos apsaugos komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  JonauskasA.  Latvėnė,,"State governance, regional policy and public administration"
2025-06-30,Aplinkos apsaugos komitetas,Gėlo požeminio vandens gavybos gręžinių įteisinimo laikinojo įstatymo projektas,XVP-394(2),T.  DomarkasL.  GirskienėJ.  Malskaitienė,,"Environment, forests and climate change"
2025-06-30,Aplinkos apsaugos komitetas,Specialiųjų žemės naudojimo sąlygų įstatymo Nr. XIII-2166 108 straipsnio pakeitimo įstatymo projektas,XIII-2166,T.  DomarkasL.  GirskienėG.  Ričkutė,,"Land and food farming, rural development and fisheries"
2025-06-30,Aplinkos apsaugos komitetas,Medžioklės įstatymo Nr. IX-966 2 ir 18 straipsnių pakeitimo įstatymo projektas,IX-966,A.  MockusA.  GedvilienėJ.  Jakučionytė,,"Environment, forests and climate change"
2025-06-30,Aplinkos apsaugos komitetas,Laukinės gyvūnijos įstatymo Nr. VIII-498 35 straipsnio pakeitimo įstatymo projektas,VIII-498,A.  MockusA.  GedvilienėJ.  Jakučionytė,,"Environment, forests and climate change"
2025-06-30,Aplinkos apsaugos komitetas,Atliekų tvarkymo įstatymo Nr. VIII-787 pakeitimo įstatymo projektas,VIII-787,A.  MockusL.  GirskienėB.  Pūtienė,,"Environment, forests and climate change"
2025-06-30,Aplinkos apsaugos komitetas,"Pakuočių ir pakuočių atliekų tvarkymo įstatymo Nr. IX-517 2, 6, 7, 7-1, 7-2, 10, 11-2 straipsnių pakeitimo ir Įstatymo papildymo 10-1 straipsniu įstatymo projektas",IX-517,A.  MockusL.  GirskienėB.  Pūtienė,,"Environment, forests and climate change"
2025-06-30,Aplinkos apsaugos komitetas,"Mokesčio už aplinkos teršimą įstatymo Nr. VIII-1183 1, 2, 4, 6, 7, 9, 11, 12 straipsnių ir 3, 7, 8 priedų pakeitimo įstatymo projektas",VIII-1183,A.  MockusL.  GirskienėB.  Pūtienė,,Justice
2025-06-30,Aplinkos apsaugos komitetas,"Aplinkos apsaugos įstatymo Nr. I-2223 47, 84, 85, 94, 95, 98, 99, 100, 101, 102, 105 ir 107 straipsnių pakeitimo ir Įstatymo papildymo 102-2 ir 102-3 straipsniais įstatymo projektas",I-2223,A.  MockusL.  GirskienėB.  Pūtienė,,"Environment, forests and climate change"
2025-06-30,Aplinkos apsaugos komitetas,Kiti klausimai,,L.  JonauskasA.  Latvėnė,,"State governance, regional policy and public administration"
2025-06-26,Aplinkos apsaugos komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  JonauskasA.  Latvėnė,,"State governance, regional policy and public administration"
