date,committee,question,project,responsible,attendees,theme
2025-06-20,Ateities komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  GrubliauskasK.  Gulbinskienė,,"State governance, regional policy and public administration"
2025-06-20,Ateities komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos pirmininkavimo Europos Sąjungos Tarybai 2027 metais"" projektas",XVP-586,,,"State governance, regional policy and public administration"
2025-06-20,Ateities komitetas,Laisvosios ekonominės zonos (LEZ) – regionų konkurencingumo katalizatorius: Klaipėdos LEZ pavyzdys Kviečiami dalyvauti: ​Klaipėdos LEZ valdymo bendrovės vadovas Eimantas Kiudulas Lietuvos Respublikos Seimo Kancleris Algirdas Stončaitis​ ​,,,,Economic competitiveness and state information resources
2025-06-20,Ateities komitetas,Kokios industrijos/įmonės yra Lietuvos/Klaipėdos ateities industrijos/įmonės Kviečiami dalyvauti: VšĮ Investuok Lietuvoje generalinis direktorius Elijus Čivilis ​ ​,,V.  GrubliauskasM.  PaulauskėA.  Augustinaitis,,Economic competitiveness and state information resources
2025-06-20,Ateities komitetas,Pietų pertrauka,,,,"Land and food farming, rural development and fisheries"
2025-06-20,Ateities komitetas,"Diskusija ko reikia, kad regionai sparčiau augtų ir juose kurtųsi ateities įmonės Kviečiami dalyvauti: ​ Diskusija moderuoja Marius Dubnikovas VšĮ Investuok Lietuvoje generalinis direktorius Elijus Čivilis Lietuvos Respublikos ekonomikos ir inovacijų ministerijos viceministras Marius Stasiukaitis Klaipėdos LEZ valdymo bendrovės vadovas Eimantas Kiudulas Transporto inovacijų asociacijos Valdybos pirmininkas Jurgis Adomavičius Klaipėdos miesto savivaldybės, Strategijos departamento vadovė Indrė Butenienė​ ​",,,,Economic competitiveness and state information resources
2025-06-20,Ateities komitetas,Susipažinimas su UAB „Glasbel Baltic“ veikla,,V.  GrubliauskasM.  PaulauskėA.  Augustinaitis,,Economic competitiveness and state information resources
2025-06-11,Ateities komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  GrubliauskasK.  Gulbinskienė,,"State governance, regional policy and public administration"
2025-06-11,Ateities komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas Kviečiami dalyvauti: ​ Lietuvos Respublikos Ministras Pirmininkas Gintautas Paluckas Lietuvos Respublikos Vyriausybės kancleris Laimonas Rudys Lietuvos Respublikos finansų ministras Rimantas Šadžius Lietuvos Respublikos Valstybės kontrolierė Irena Segalovičienė​,XVP-453,Papildomas(svarstymas),,Public finance
2025-06-11,Ateities komitetas,Kiti klausimai,,V.  GrubliauskasK.  Gulbinskienė,,"State governance, regional policy and public administration"
2025-06-04,Ateities komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  GrubliauskasK.  Gulbinskienė,,"State governance, regional policy and public administration"
2025-06-04,Ateities komitetas,Dėl Seimo Ateities komiteto sprendimo dėl Švietimo strateginės vizijos,,L.  KazlavickasA.  Jakavičiutė-MiliauskienėG.  ViliūnasA.  Grigienė,,"Education, science and sport"
2025-06-04,Ateities komitetas,"Regionų pažangos strateginės prielaidos: Lietuvos Respublikos teritorijos bendro plano atnaujinimas, sumanioji specializacija ir kt. Kviečiami dalyvauti: Lietuvos Respublikos vidaus reikalų viceministras Vaidotas Jakštas Lietuvos Respublikos aplinkos viceministras Kastytis Žuromskas Lietuvos Respublikos ekonomikos ir inovacijų ministro patarėjas Paulius Petrauskas Europos Komisijos ekonomikos ir politikos analitikas Dr. Ramojus Reimeris VšĮ Inovacijų agentūros vadovė Romualda Stragienė VšĮ „Investuok Lietuvoje“ generalinis direktorius Elijus Čivilis „Kurk Lietuvai“ projetų vadovas Rytis Stankevičius ​",,I.  GelažnikienėE.  KirkutisA.  AugustinaitisM.  Paulauskė,,"State governance, regional policy and public administration"
2025-06-04,Ateities komitetas,Kiti klausimai,,V.  GrubliauskasK.  Gulbinskienė,,"State governance, regional policy and public administration"
2025-05-21,Ateities komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  GrubliauskasK.  Gulbinskienė,,"State governance, regional policy and public administration"
2025-05-21,Ateities komitetas,Dėl Seimo Ateities komiteto sprendimo dėl regioninės raidos planavimo ir vystymo projekto,,I.  GelažnikienėE.  KirkutisA.  AugustinaitisM.  Paulauskė,,"State governance, regional policy and public administration"
2025-05-21,Ateities komitetas,Kiti klausimai,,V.  GrubliauskasK.  Gulbinskienė,,"State governance, regional policy and public administration"
2025-05-21,Ateities komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  GrubliauskasV.  AleknavičienėK.  GulbinskienėL.  Vingrytė,,"State governance, regional policy and public administration"
2025-05-21,Ateities komitetas,"Švietimas kaip valstybės pažangos veiksnys: strateginė vizija Kviečiami dalyvauti: ​ Lietuvos Respublikos švietimo, mokslo ir sporto ministrė Raminta Popovienė Vilniaus universiteto Tarptautinių santykių ir politikos mokslų instituto vyresnioji mokslo darbuotoja Nerija Putinaitė VšĮ „Švietimas numeris vienas“ vadovė Laura Masiliauskaitė Tarptautinė švietimo ekspertė, pasaulinės iniciatyvos „Think Equal“ vyresnioji tarptautinė patarėja Lina Benetė „EdTech Lietuva“ valdybos narys Šarūnas Dignaitis​ Lietuvos Respublikos Prezidento Švietimo, mokslo ir kultūros grupės vadovė, vyriausioji patarėja Jolanta Karpavičienė Lietuvos Respublikos Ministro Pirmininko patarėjas švietimo, inovacijų ir infrastruktūros klausimais Marius Skarupskas Vyriausybės kanceliarijos Strateginio valdymo grupės patarėja Modesta Kairytė",,A.  Jakavičiutė-MiliauskienėL.  KazlavickasG.  ViliūnasA.  GrigienėL.  Vingrytė,,"Education, science and sport"
2025-05-14,Ateities komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  GrubliauskasK.  Gulbinskienė,,"State governance, regional policy and public administration"
