date,committee,question,project,responsible,attendees,theme
2025-06-27,Audito komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-06-27,Audito komitetas,"Dėl Lietuvos kariuomenės Generolo Adolfo Ramanausko kovinio rengimo centro vykdyto viešojo pirkimo ""Teritorijų paviršių paruošimo darbai (kelmų frezavimas)"" ​ Kviečiami dalyvauti: Viešųjų pirkimų tarnybos, Lietuvos kariuomenės Generolo Adolfo Ramanausko kovinio rengimo centro, Krašto apsaugos ministerijos, Specialiųjų tyrimų tarnybos, Valstybės kontrolės atstovai​ ​",,A.  SkardžiusD.  KeršienėL.  Pranaitytė,,State security and defense
2025-06-27,Audito komitetas,Kiti klausimai. 1. Dėl 2025 m. birželio 13 d. valstybinio audito ataskaitos Nr. VAE-8 „Valstybės informacinių išteklių infrastruktūros konsolidavimas“ svarstymo ir kuratorių paskyrimo.,VAE-8,A.  SkardžiusL.  Pranaitytė,,Economic competitiveness and state information resources
2025-06-18,Audito komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-06-18,Audito komitetas,Dėl darniųjų viešųjų pirkimų,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasD.  KeršienėL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-06-18,Audito komitetas,"2025 m. gegužės 20 d. Valstybės kontrolės vertinimas Nr. VRE-3 „Viešojo sektoriaus darbuotojų darbo užmokečio apžvalga“ Kviečiami dalyvauti: ​ Seimo kancleris, Finansų, Vidaus reikalų ministerijų, Lietuvos
savivaldybių asociacijos, Valstybės kontrolės, Viešojo
valdymo agentūros atstovai ​",VRE-3,R.  JanušonienėA.  ZuokasA.  BuragienėL.  Pranaitytė,,Public finance
2025-06-18,Audito komitetas,"Dėl lėšų, skirtų institucijų veiklos viešinimui Kviečiami dalyvauti: ​ Ekonomikos ir inovacijų, Energetikos, Finansų, Kultūros, Susisiekimo ministerijų, Valstybės skaitmeninių sprendimų agentūros ir UAB „ Ignitis” atstovai ​",,A.  SkardžiusE.  Šukytė,,Public finance
2025-06-18,Audito komitetas,"Kiti klausimai: 1. Dėl 2025 m. birželio 6 d. Valstybinio audito išankstinio tyrimo ataskaitos Nr. ITE-1 ,,Gyventojų perspėjimo sistemos modernizavimas, kolektyvinės apsaugos statinių ir priedangų plėtra“ svarstymo ir kuratorių paskyrimo. 2. Dėl 2025 m. birželio 12 d. išvados Nr. BPE-3 „Dėl savivaldybių biudžetų fiskalinės drausmės taisyklių laikymosi 2024-2025 m.“ svarstymo ir kuratorių paskyrimo. 3. Dėl komitete gauto skundo",ITE-1; BPE-3,A.  SkardžiusL.  Pranaitytė,,Public security
2025-06-11,Audito komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-06-11,Audito komitetas,"Įmonių ir įmonių grupių atskaitomybės įstatymo Nr. XIV-2811 1, 2, 3, 4, 16, 17, 19, 20, 23, 31, 32, 35, 36, 37, 40 ir 41 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​ Finansų ministerijos atstovai ​",XIV-2811,R.  JanušonienėA.  ZuokasD.  Andriūnaitė,,Public finance
2025-06-11,Audito komitetas,Papildomas (svarstymas),Įmonių ir įmonių grupių atskaitomybės įstatymo Nr. XIV-2811 41 straipsnio ir priedo pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-06-11,Audito komitetas,Papildomas (svarstymas),Vertybinių popierių įstatymo Nr. X-1023 priedo pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-06-11,Audito komitetas,Papildomas (svarstymas),"Vertybinių popierių įstatymo Nr. X-1023 2, 12, 13, 14, 22, 27, 37 straipsnių, priedo pakeitimo ir Įstatymo papildymo 15-1 straipsniu įstatymo Nr. XIV-2813 10 straipsnio pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-11,Audito komitetas,Papildomas (svarstymas),Įmonių ir įmonių grupių atskaitomybės įstatymo Nr. XIV-2811 41 straipsnio pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-06-11,Audito komitetas,"2025 m. gegužės 15 d. valstybinio audito ataskait Nr. FAE-4 „2024 metų Privalomojo sveikatos draudimo fondo ataskaitų rinkinio finansinio audito rezultatai“ Kviečiami dalyvauti: ​ Finansų ministerijos, Sveikatos apsaugos ministerijos, Valstybinės
ligonių kasos prie Sveikatos apsaugos ministerijos, Valstybės kontrolės atstovai ​",FAE-4,R.  JanušonienėJ.  RazmaA.  Buragienė,,Health
2025-06-11,Audito komitetas,Papildomas (svarstymas),Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų Privalomojo sveikatos draudimo fondo metinių ataskaitų rinkinio patvirtinimo“ projektas,,,"State governance, regional policy and public administration"
2025-06-11,Audito komitetas,"2025 m. gegužės 15 d. valstybinio audito ataskaita Nr. FAE-6 „2024 metų valstybės socialinių fondų ataskaitų rinkinio finansinio audito rezultatai“ Kviečiami dalyvauti: ​ Finansų ministerijos, Socialinės apsaugos ir darbo ministerijos,
Valstybinio socialinio draudimo fondo valdybos prie Socialinės apsaugos ir
darbo ministerijos, Valstybės kontrolės atstovai ​",FAE-6,R.  JanušonienėJ.  RazmaA.  Buragienė,,Public finance
2025-06-11,Audito komitetas,Papildomas (svarstymas),Seimo nutarimo „Dėl 2024 metų Valstybės socialinių fondų metinių ataskaitų rinkinio patvirtinimo“ projektas,,,"State governance, regional policy and public administration"
