date,committee,question,project,responsible,attendees,theme
2025-06-04,Kaimo reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  MažeikaA.  Matulevičienė,,"State governance, regional policy and public administration"
2025-06-04,Kaimo reikalų komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,K.  MažeikaD.  Černiavskienė,,Public finance
2025-06-04,Kaimo reikalų komitetas,"​Finansų ministerijos, Valstybės kontrolės, Žemės ūkio ministerijos atstovai​​",XVP-453,K.  MažeikaD.  Černiavskienė,,Public finance
2025-06-04,Kaimo reikalų komitetas,"Dėl įstatymo nuostatų, nustatančių maksimalius nuosavybės teise leidžiamus turėti žemės ūkio paskirties žemės plotus, tinkamo taikymo praktikoje užtikrinimo",,B.  RopėG.  Remeikienė,,"Land and food farming, rural development and fisheries"
2025-06-04,Kaimo reikalų komitetas,"​Aplinkos ministerijos, ​Žemės ūkio ministerijos, Nacionalinės žemės tarnybos prie AM,",,B.  RopėG.  Remeikienė,,"Land and food farming, rural development and fisheries"
2025-06-04,Kaimo reikalų komitetas,"Valstybės įmonės Žemės ūkio duomenų centras​, žemdirbių savivaldos organizacijų atstovai",,B.  RopėG.  Remeikienė,,"Land and food farming, rural development and fisheries"
2025-06-04,Kaimo reikalų komitetas,"Dėl papildomų reikalavimų, apsunkinančių žemės ūkio technikos registravimą",,K.  MažeikaG.  Rimeisienė,,"Land and food farming, rural development and fisheries"
2025-06-04,Kaimo reikalų komitetas,"​ ​Žemės ūkio ministerijos, Lietuvos transporto saugos administracijos, Valstybės įmonės Žemės ūkio duomenų centras​, Lietuvos savivaldybių asociacijos, Savivaldybių žemės ūkio skyrių darbuotojų asociacijos,​ žemdirbių savivaldos organizacijų atstovai​",,K.  MažeikaG.  Rimeisienė,,"Land and food farming, rural development and fisheries"
2025-06-04,Kaimo reikalų komitetas,Kiti klausimai,,K.  MažeikaA.  Matulevičienė,,"State governance, regional policy and public administration"
2025-06-04,Kaimo reikalų komitetas,Ūkininko ūkio įstatymo Nr. VIII-1159 pakeitimo įstatymo projektas (nauja redakcija),VIII-1159,K.  MažeikaV.  PranckietisG.  Remeikienė,,"Land and food farming, rural development and fisheries"
2025-06-04,Kaimo reikalų komitetas,"​Žemės ūkio ministerijos, Socialinės apsaugos ir darbo ministerijos, Valstybinės darbo inspekcijos, Seimo kanceliarijos Teisės departamento,​ žemdirbių savivaldos organizacijų atstovai​",VIII-1159,K.  MažeikaV.  PranckietisG.  Remeikienė,,"Land and food farming, rural development and fisheries"
2025-05-28,Kaimo reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  MažeikaA.  Matulevičienė,,"State governance, regional policy and public administration"
2025-05-28,Kaimo reikalų komitetas,"Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo dėl tam tikrų vyno sektoriaus ir aromatizuotų vyno produktų rinkos taisyklių ir paramos sektoriui priemonių iš dalies keičiami reglamentai (ES) Nr. 1308/2013, (ES) 2021/2115 ir (ES) Nr. 251/2014 (",1308/2013; 251/2014,K.  MažeikaD.  Černiavskienė,,"Land and food farming, rural development and fisheries"
2025-05-28,Kaimo reikalų komitetas,​Žemės ūkio ministerijos ir Valstybinės maisto ir veterinarijos tarnybos atstovai,1308/2013; 251/2014,K.  MažeikaD.  Černiavskienė,,"Land and food farming, rural development and fisheries"
2025-05-28,Kaimo reikalų komitetas,Saugumo įnašo įstatymo projektas,XVP-433,K.  MažeikaD.  Černiavskienė,,Public security
2025-05-28,Kaimo reikalų komitetas,"​​Finansų ministerijos, Žemės ūkio ministerijos, žemdirbių savivaldos organizacijų atstovai​​​",XVP-433,K.  MažeikaD.  Černiavskienė,,"Land and food farming, rural development and fisheries"
2025-05-28,Kaimo reikalų komitetas,"Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 6, 13-1, 16, 17, 18, 18-2, 19, 20, 21, 23, 27, 34 ir 35 straipsnių pakeitimo įstatymo projektas",IX-1007,K.  MažeikaD.  Černiavskienė,,Public finance
2025-05-28,Kaimo reikalų komitetas,"​​Finansų ministerijos, Žemės ūkio ministerijos, žemdirbių savivaldos organizacijų atstovai​​​",IX-1007,K.  MažeikaD.  Černiavskienė,,"Land and food farming, rural development and fisheries"
2025-05-28,Kaimo reikalų komitetas,Nekilnojamojo turto mokesčio įstatymo Nr. X-233 pakeitimo įstatymo projektas (nauja redakcija),X-233,K.  MažeikaD.  Černiavskienė,,Public finance
2025-05-28,Kaimo reikalų komitetas,"Finansų ministerijos, Žemės ūkio ministerijos, žemdirbių savivaldos organizacijų atstovai​​​",X-233,K.  MažeikaD.  Černiavskienė,,"Land and food farming, rural development and fisheries"
2025-05-28,Kaimo reikalų komitetas,"Akcizų įstatymo Nr. IX-569 1, 2, 3 straipsnių pakeitimo ir II skyriaus papildymo devintuoju skirsniu įstatymo projektas",IX-569,K.  MažeikaD.  Černiavskienė,,Public finance
2025-05-28,Kaimo reikalų komitetas,"Seimo narys Karolis Neimantas (pasiūlymo teikėjas)​​, Finansų ministerijos, Žemės ūkio ministerijos, žemdirbių savivaldos organizacijų atstovai​​​",IX-569,K.  MažeikaD.  Černiavskienė,,"Land and food farming, rural development and fisheries"
2025-05-28,Kaimo reikalų komitetas,Pridėtinės vertės mokesčio įstatymo Nr. IX-751 19 straipsnio pakeitimo įstatymo projektas,IX-751,K.  MažeikaD.  Černiavskienė,,Public finance
2025-05-28,Kaimo reikalų komitetas,"Seimo narys Karolis Neimantas (pasiūlymo teikėjas)​​, Finansų ministerijos, Žemės ūkio ministerijos, žemdirbių savivaldos organizacijų atstovai​​​",IX-751,K.  MažeikaD.  Černiavskienė,,"Land and food farming, rural development and fisheries"
2025-05-28,Kaimo reikalų komitetas,Kiti klausimai,,K.  MažeikaA.  Matulevičienė,,"State governance, regional policy and public administration"
2025-05-21,Kaimo reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  MažeikaA.  Matulevičienė,,"State governance, regional policy and public administration"
2025-05-21,Kaimo reikalų komitetas,"Melioracijos įstatymo Nr. I-323 1, 2, 7 ir 9 straipsnių pakeitimo ir Įstatymo papildymo VI skyriumi įstatymo projektas",I-323,T.  PrajaraK.  StarkevičiusG.  Rimeisienė,,"Land and food farming, rural development and fisheries"
2025-05-21,Kaimo reikalų komitetas,"​Seimo nariai Alvydas Mockus ir kt. (pasiūlymo teikėjas), Žemės ūkio, Aplinkos ministerijų, Lietuvos savivaldybių asociacijos, Savivaldybių žemės ūkio skyrių darbuotojų asociacijos, Lietuvos melioracijos įmonių asociacijos, Lietuvos žemėtvarkos ir hidrotechnikos inžinierių sąjungos atstovai",I-323,T.  PrajaraK.  StarkevičiusG.  Rimeisienė,,"Land and food farming, rural development and fisheries"
2025-05-21,Kaimo reikalų komitetas,Valstybės gynybos fondo įstatymo Nr. XIV-2775 4 straipsnio pakeitimo įstatymo projektas,XIV-2775,K.  MažeikaG.  Remeikienė,,State security and defense
2025-05-21,Kaimo reikalų komitetas,"​Seimo nariai Kazys Starkevičius ir Viktoras Fiodorovas (iniciatoriai),​ Aplinkos ministerijos, Nacionalinės žemės tarnybos prie Aplinkos ministerijos, ​Žemės ūkio ministerijos,​ žemdirbių savivaldos organizacijų atstovai​",XIV-2775,K.  MažeikaG.  Remeikienė,,"Land and food farming, rural development and fisheries"
