date,committee,question,project,responsible,attendees,theme
2025-06-04,Kultūros komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  VilkauskasR.  Varanauskienė,,"State governance, regional policy and public administration"
2025-06-04,Kultūros komitetas,Dainų švenčių tradicijos įstatymo Nr. X-1334 4 straipsnio pakeitimo įstatymo projektas,X-1334,R.  BaškienėV.  JuozapaitisM.  Gureckienė,,Culture
2025-06-04,Kultūros komitetas,Seimo nutarimo „Dėl Dainiaus Radzevičiaus skyrimo žurnalistų etikos inspektoriumi“ projektas,XVP-364,K.  VilkauskasV.  JuozapaitisA.  Pocienė,,Transportation and communications
2025-06-04,Kultūros komitetas,Valstybės kontrolės vertinimo ataskaita „UNESCO pasaulio paveldo objektų valdymas ir saugojimas“,,K.  VilkauskasV.  JuozapaitisM.  Gureckienė,,Culture
2025-06-04,Kultūros komitetas,Visuomenės informavimo įstatymo Nr. I-1418 50 straipsnio pakeitimo įstatymo projektas,I-1418,K.  VilkauskasV.  KernagisA.  Pocienė,,Economic competitiveness and state information resources
2025-06-04,Kultūros komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,K.  VilkauskasV.  JuozapaitisA.  Jonaitienė,,Public finance
2025-06-04,Kultūros komitetas,Kiti klausimai,,K.  VilkauskasR.  Varanauskienė,,"State governance, regional policy and public administration"
2025-05-23,Kultūros komitetas,Išvykimas į Druskininkus,,K.  VilkauskasR.  VaranauskienėA.  Jonaitienė,,"State governance, regional policy and public administration"
2025-05-23,Kultūros komitetas,Susitikimas su Druskininkų savivaldybės atstovais,,K.  VilkauskasA.  Jonaitienė,,"State governance, regional policy and public administration"
2025-05-23,Kultūros komitetas,Druskininkų kultūros ir kongresų rūmų statybų  ir kitų kultūros objektų apžiūra,,K.  VilkauskasA.  Jonaitienė,,Culture
2025-05-23,Kultūros komitetas,Grįžimas į Vilnių,,K.  VilkauskasR.  VaranauskienėA.  Jonaitienė,,Foreign policy
2025-05-21,Kultūros komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  VilkauskasR.  Varanauskienė,,"State governance, regional policy and public administration"
2025-05-21,Kultūros komitetas,Nekilnojamojo kultūros paveldo apsaugos įstatymo Nr. I-733 pakeitimo įstatymo projektas (nauja redakcija),I-733,K.  VilkauskasV.  JuozapaitisM.  Gureckienė,,"State governance, regional policy and public administration"
2025-05-21,Kultūros komitetas,"Statybos įstatymo Nr. I-1240 24, 27 straipsnių pakeitimo įstatymo projektas",I-1240,K.  VilkauskasV.  JuozapaitisM.  Gureckienė,,"Land and food farming, rural development and fisheries"
2025-05-21,Kultūros komitetas,"Kilnojamųjų kultūros vertybių apsaugos įstatymo Nr. I-1179 2, 4, 8, 9, 11, 12, 13 straipsnių pakeitimo įstatymo projektas",I-1179,K.  VilkauskasV.  JuozapaitisM.  Gureckienė,,Culture
2025-05-21,Kultūros komitetas,"Administracinių nusižengimų kodekso 314, 356, 589 straipsnių pakeitimo įstatymo projektas",XIVP-4210,K.  VilkauskasV.  JuozapaitisM.  Gureckienė,,"State governance, regional policy and public administration"
2025-05-21,Kultūros komitetas,Dėl Dubingių pilies atkūrimo iniciatyvos,,K.  VilkauskasV.  JuozapaitisA.  PocienėM.  Gureckienė,,Culture
2025-05-21,Kultūros komitetas,Kiti klausimai,,R.  VaranauskienėK.  Vilkauskas,,"State governance, regional policy and public administration"
2025-05-14,Kultūros komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  VilkauskasR.  Varanauskienė,,"State governance, regional policy and public administration"
2025-05-14,Kultūros komitetas,Dėl naujos Medijų rėmimo fondo programos formavimo ir žiniasklaidos priemonių įtraukimo. Parlamentinė kontrolė,,K.  VilkauskasV.  JuozapaitisA.  Pocienė,,Transportation and communications
2025-05-14,Kultūros komitetas,"Seimo nutarimo „Dėl Lietuvos radijo ir televizijos komisijos pirmininko pavaduotojo paskyrimo“ projektas  XVP-387 (pagrindinis, pasirengimas svarstymui ir svarstymas)",,K.  VilkauskasV.  JuozapaitisA.  Pocienė,,Transportation and communications
2025-05-14,Kultūros komitetas,"Seimo nutarimo ""Dėl 2030 metų paskelbimo Vytauto Didžiojo metais"" projektas",XVP-287,K.  VilkauskasV.  JuozapaitisM.  Gureckienė,,Culture
2025-05-14,Kultūros komitetas,Kiti klausimai,,K.  VilkauskasR.  Varanauskienė,,"State governance, regional policy and public administration"
2025-05-14,Kultūros komitetas,"Valstybės ir savivaldybių turto valdymo, naudojimo ir disponavimo juo įstatymo Nr. VIII-729 2 ir 14 straipsnių pakeitimo įstatymo projektas",VIII-729,K.  VilkauskasV.  JuozapaitisA.  Jonaitienė,,Justice
2025-05-07,Kultūros komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  VilkauskasV.  GrubliauskasR.  VaranauskienėK.  Gulbinskienė,,"State governance, regional policy and public administration"
2025-05-07,Kultūros komitetas,Ateities kultūros politika,,K.  VilkauskasV.  GrubliauskasS.  KairysA.  JonaitienėG.  ViliūnasA.  Grigienė,,Culture
2025-05-07,Kultūros komitetas,Lietuvos Respublikos kultūros ministras Šarūnas Birutis,,K.  VilkauskasV.  GrubliauskasS.  KairysA.  JonaitienėG.  ViliūnasA.  Grigienė,,Culture
