date,committee,question,project,responsible,attendees,theme
2025-07-04,Nacionalinio saugumo ir gynybos komitetas,Posėdžio darbotvarkės tvirtinimas,,G.  JeglinskasE.  Sinkevičius,,"State governance, regional policy and public administration"
2025-07-04,Nacionalinio saugumo ir gynybos komitetas,Dėl AOTD direktoriaus perkėlimo į laikinąjį profesinės karo tarnybos personalo rezervą,,G.  JeglinskasE.  Sinkevičius,,State security and defense
2025-07-04,Nacionalinio saugumo ir gynybos komitetas,Kiti klausimai,,G.  JeglinskasE.  Sinkevičius,,"State governance, regional policy and public administration"
2025-06-27,Nacionalinio saugumo ir gynybos komitetas,"Dėl gautų naujų pasiūlymų dėl Laisvės gynėjo teisinio statuso įstatymo Nr. XIV-389 2, 7, 9 straipsnių pakeitimo ir Įstatymo papildymo 7(1) straipsniu įstatymo projekto Nr. XVP-96(2)",XIV-389; XVP-96,G.  JeglinskasA.  PociusG.  Kazėnas,,Justice
2025-06-27,Nacionalinio saugumo ir gynybos komitetas,Dėl AOTD direktoriaus perkėlimo į laikinąjį profesinės karo tarnybos personalo rezervą,,L.  KasčiūnasI.  ŠimonytėV.  Čmilytė-NielsenA.  PociusD.  GaižauskasV.  SinicaE.  Sinkevičius,,State security and defense
2025-06-25,Nacionalinio saugumo ir gynybos komitetas,Posėdžio darbotvarkės tvirtinimas,,G.  JeglinskasE.  Sinkevičius,,"State governance, regional policy and public administration"
2025-06-25,Nacionalinio saugumo ir gynybos komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos pirmininkavimo Europos Sąjungos Tarybai 2027 metais"" projektas",XVP-586,G.  JeglinskasV.  Greckaitė,,"State governance, regional policy and public administration"
2025-06-25,Nacionalinio saugumo ir gynybos komitetas,"2025 m. birželio 6 d. išankstinio tyrimo ataskaita Nr. ITE-1 ,,Gyventojų perspėjimo sistemos modernizavimas, kolektyvinės apsaugos statinių ir priedangų plėtra“",ITE-1,G.  Kazėnas,,Public security
2025-06-25,Nacionalinio saugumo ir gynybos komitetas,"Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo nustatoma bendra Sąjungoje neteisėtai esančių trečiųjų valstybių piliečių grąžinimo sistema ir panaikinami Europos Parlamento ir Tarybos direktyva 2008/115/EB, Tarybos direktyva 2001/40/EB ir Tarybos sprendimas 2004/191/EB",,G.  JeglinskasV.  Greckaitė,,Justice
2025-06-25,Nacionalinio saugumo ir gynybos komitetas,Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo dėl saugių kilmės šalių Sąjungos lygmens sąrašo sudarymo iš dalies keičiamas Reglamentas (ES) 2024/1348,,G.  JeglinskasV.  Greckaitė,,"State governance, regional policy and public administration"
