date,committee,question,project,responsible,attendees,theme
2025-05-28,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-06-04,Socialinių reikalų ir darbo komitetas,Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo dėl paramos netrukus atleisimiems restruktūrizuojamų įmonių darbuotojams iš dalies keičiamas Reglamentas (ES) 2021/691,"ES-2025-45, COM/2025/140",D.  Aleksejūnienė,,Social security and employment
2025-06-04,Socialinių reikalų ir darbo komitetas,"Policijos rėmėjų įstatymo Nr. VIII-800 7, 11 ir 17 straipsnių pakeitimo įstatymo projektas",VIII-800,J.  ZailskienėE.  RudelienėI.  Kuodienė,,Public security
2025-06-04,Socialinių reikalų ir darbo komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,M.  PetrauskaitėA.  ValinskasD.  Aleksejūnienė,,Public finance
2025-06-04,Socialinių reikalų ir darbo komitetas,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 ir 36-4 straipsnių pakeitimo įstatymo projektas,I-1234,L.  KukuraitisP.  KuzmickienėA.  Kazlauskienė,,Justice
2025-06-04,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37 ir 40 straipsnių ir V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas",IX-1691,J.  ZailskienėP.  KuzmickienėD.  Jonėnienė,,Justice
2025-05-28,Socialinių reikalų ir darbo komitetas,(svarstymas),Civilinio proceso kodekso 739 straipsnio pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,(svarstymas),Socialinio draudimo pensijų įstatymo Nr. I-549 11 ir 12 straipsnių pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
