date,committee,question,project,responsible,attendees,theme
2025-06-25,Švietimo ir mokslo komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  AleknavičienėL.  Vingrytė,,"State governance, regional policy and public administration"
2025-06-25,Švietimo ir mokslo komitetas,Dėl Lietuvos ekonomikos gaivinimo ir atsparumo didinimo plano rodiklių pasiekimo,,S.  KairysL.  Vingrytė,,Economic competitiveness and state information resources
2025-06-25,Švietimo ir mokslo komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos pirmininkavimo Europos Sąjungos Tarybai 2027 metais"" projektas",XVP-586,V.  AleknavičienėR.  Morkūnaitė-MikulėnienėJ.  Varžgalytė-Tiažkijienė,,"State governance, regional policy and public administration"
2025-06-25,Švietimo ir mokslo komitetas,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, EUROPOS VADOVŲ TARYBAI, TARYBAI, EUROPOS EKONOMIKOS IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETUI Įgūdžių sąjunga","ES-2025-25, COM/2025/90",V.  AleknavičienėJ.  Varžgalytė-Tiažkijienė,,"Education, science and sport"
2025-06-25,Švietimo ir mokslo komitetas,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, TARYBAI, EUROPOS EKONOMIKOS IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETUI Pagrindinių įgūdžių veiksmų planas","ES-2025-35, COM/2025/88",,,"State governance, regional policy and public administration"
2025-06-25,Švietimo ir mokslo komitetas,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, TARYBAI, EUROPOS EKONOMIKOS IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETUI Strateginis gamtos mokslų, technologijų, inžinerijos ir matematikos mokymo planas: konkurencingumo ir inovacijų įgūdžiai","ES-2025-36, COM/2025/89",,,"Education, science and sport"
2025-06-25,Švietimo ir mokslo komitetas,"Dėl naujo STEAM finansavimo modelio
Trumpai prie direktyvos pristatys esamą situaciją",,V.  AleknavičienėR.  Steponėnienė,,Public finance
2025-06-25,Švietimo ir mokslo komitetas,Kiti klausimai,,V.  AleknavičienėL.  Vingrytė,,"State governance, regional policy and public administration"
2025-06-18,Švietimo ir mokslo komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  AleknavičienėL.  Vingrytė,,"State governance, regional policy and public administration"
2025-06-18,Švietimo ir mokslo komitetas,Dėl kolegijų binarinėje aukštojo mokslo sistemoje,,V.  AleknavičienėR.  Steponėnienė,,"Education, science and sport"
2025-06-18,Švietimo ir mokslo komitetas,Dėl kolegijų indėlio į mokslą ir inovacijas,,V.  AleknavičienėR.  Steponėnienė,,"Education, science and sport"
2025-06-18,Švietimo ir mokslo komitetas,"Kiti klausimai:
1.	Dėl gauto rašto.
2.	Dėl kito posėdžio darbotvarkės.",,V.  AleknavičienėL.  Vingrytė,,"State governance, regional policy and public administration"
2025-06-11,Švietimo ir mokslo komitetas,Posėdžio darbotvarkės tvirtinimas,,I.  KižienėV.  Aleknavičienė,,"State governance, regional policy and public administration"
2025-06-11,Švietimo ir mokslo komitetas,"Įtraukties švietime apžvalga, švietimo pagalbos specialistų trūkumo ir rengimo tvarkos klausimai",,I.  KižienėV.  AleknavičienėI.  ŽukauskaitėD.  Žegunė,,"Education, science and sport"
2025-06-11,Švietimo ir mokslo komitetas,Kiti klausimai,,I.  KižienėV.  Aleknavičienė,,"State governance, regional policy and public administration"
2025-06-11,Švietimo ir mokslo komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  AleknavičienėL.  Vingrytė,,"State governance, regional policy and public administration"
2025-06-11,Švietimo ir mokslo komitetas,NMPP ir PUPP rezultatų pristatymas,,S.  KairysL.  KazlavickasL.  Vingrytė,,"Education, science and sport"
2025-06-11,Švietimo ir mokslo komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos Seimo 2011 m. birželio 23 d. nutarimo Nr. XI-1536 „Dėl Vilniaus dailės akademijos statuto patvirtinimo“ pakeitimo“ projektui (nauja redakcija),XI-1536,G.  DrukteinisL.  KazlavickasR.  Steponėnienė,,"State governance, regional policy and public administration"
2025-06-11,Švietimo ir mokslo komitetas,"Seimo nutarimo ""Dėl 2030 metų paskelbimo Vytauto Didžiojo metais"" projektas",XVP-287,D.  JakavičiusJ.  NarkevičJ.  Varžgalytė-Tiažkijienė,,Culture
2025-06-11,Švietimo ir mokslo komitetas,"Švietimo įstatymo Nr. I-1489 25, 33, 43, 53, 56, 56-1, 56-2 straipsnių pakeitimo, Įstatymo papildymo 56-5, 56-6, 56-7, 56-8, 56-9, 56-10, 56-11, 56-12 straipsniais įstatymo projektas",I-1489,V.  AleknavičienėL.  Vingrytė,,"Education, science and sport"
2025-06-11,Švietimo ir mokslo komitetas,"Profesinio mokymo įstatymo Nr. VIII-450 13, 14, 25 ir 26 straipsnių pakeitimo įstatymo projektas",VIII-450,V.  AleknavičienėL.  Vingrytė,,"Education, science and sport"
2025-06-11,Švietimo ir mokslo komitetas,"Mokslo ir studijų įstatymo Nr. XI-242 42, 43, 44 ir 48 straipsnių pakeitimo įstatymo projektas",XI-242,V.  AleknavičienėL.  Vingrytė,,"Education, science and sport"
2025-06-11,Švietimo ir mokslo komitetas,Kiti klausimai,,V.  AleknavičienėL.  Vingrytė,,"State governance, regional policy and public administration"
2025-06-04,Švietimo ir mokslo komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  AleknavičienėL.  Vingrytė,,"State governance, regional policy and public administration"
2025-06-04,Švietimo ir mokslo komitetas,Mokslo ir studijų įstatymo Nr. XI-242 59 straipsnio pakeitimo įstatymo projektas,XI-242,L.  KazlavickasV.  AleknavičienėR.  Steponėnienė,,"Education, science and sport"
2025-06-04,Švietimo ir mokslo komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,,,Public finance
2025-06-04,Švietimo ir mokslo komitetas,Lietuvos įtraukties švietime centro veiklos pristatymas,,V.  AleknavičienėD.  Žegunė,,"Education, science and sport"
2025-06-04,Švietimo ir mokslo komitetas,"Valstybės kontrolės auditas ""Švietimo skaitmeninė transformacija mokyklose""",,,,"Education, science and sport"
