date,committee,question,project,responsible,attendees,theme
2025-06-04,Teisės ir teisėtvarkos komitetas,Posėdžio darbotvarkės tvirtinimas,,J.  SabatauskasD.  Komparskienė,,"State governance, regional policy and public administration"
2025-06-04,Teisės ir teisėtvarkos komitetas,"Administracinių nusižengimų kodekso 207, 589, 673 straipsnių ir priedo pakeitimo ir Kodekso papildymo 188-6 ir 188-7 straipsniais įstatymo projektas",XVP-367,J.  SabatauskasV.  GailiusL.  Zdanavičienė,,"State governance, regional policy and public administration"
2025-06-04,Teisės ir teisėtvarkos komitetas,Pateikė Lietuvos Respublikos Vyriausybė,XVP-367,J.  SabatauskasV.  GailiusL.  Zdanavičienė,,"State governance, regional policy and public administration"
2025-06-04,Teisės ir teisėtvarkos komitetas,Teisės departamento išvada dėl Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projekto,XVP-221(2),J.  SabatauskasV.  GailiusL.  Zdanavičienė,,Justice
2025-06-04,Teisės ir teisėtvarkos komitetas,Pateikė Teisės ir teisėtvarkos komitetas,XVP-221(2),J.  SabatauskasV.  GailiusL.  Zdanavičienė,,Public security
2025-06-04,Teisės ir teisėtvarkos komitetas,Vartotojų teisių apsaugos įstatymo Nr. I-657 2 ir 10 straipsnių pakeitimo įstatymo projektas,I-657,A.  ŠirinskienėI.  VėgėlėM.  Civilkienė,,Justice
2025-06-04,Teisės ir teisėtvarkos komitetas,Pateikė Jekaterina Rojaka,I-657,A.  ŠirinskienėI.  VėgėlėM.  Civilkienė,,Economic competitiveness and state information resources
2025-06-04,Teisės ir teisėtvarkos komitetas,Geros valios kompensacijų už paskirtas ir sumokėtas administracines baudas dėl karantino ir ekstremaliosios situacijos ribojimų nesilaikymo įstatymo projektas,GP_XVP-454,J.  SabatauskasV.  GailiusL.  Zdanavičienė,,"State governance, regional policy and public administration"
2025-06-04,Teisės ir teisėtvarkos komitetas,Pateikė Rimas Jonas Jankūnas,GP_XVP-454,J.  SabatauskasV.  GailiusL.  Zdanavičienė,,Culture
2025-06-04,Teisės ir teisėtvarkos komitetas,Civilinio kodekso trečiosios knygos VI dalies XV skyriaus pripažinimo netekusiu galios įstatymo projektas,GP_XVP-429,J.  SabatauskasV.  GailiusM.  Civilkienė,,Justice
2025-06-04,Teisės ir teisėtvarkos komitetas,Pateikė Ignas Vėgėlė,GP_XVP-429,J.  SabatauskasV.  GailiusM.  Civilkienė,,Neatpažinta tema
2025-06-04,Teisės ir teisėtvarkos komitetas,"Civilinio kodekso 4.107, 4.109 ir 6.956 straipsnių pakeitimo įstatymo projektas",XVP-315,A.  ŠirinskienėV.  GailiusM.  Civilkienė,,Justice
2025-06-04,Teisės ir teisėtvarkos komitetas,Pateikė Lietuvos Respublikos Vyriausybė,XVP-315,A.  ŠirinskienėV.  GailiusM.  Civilkienė,,"State governance, regional policy and public administration"
2025-06-04,Teisės ir teisėtvarkos komitetas,(svarstymas),Civilinio proceso kodekso 83 straipsnio pakeitimo įstatymo projektasPateikė Lietuvos Respublikos Vyriausybė,,,"State governance, regional policy and public administration"
2025-06-04,Teisės ir teisėtvarkos komitetas,(svarstymas),Administracinių nusižengimų kodekso 195 straipsnio pakeitimo įstatymo projektasPateikė Lietuvos Respublikos Vyriausybė,,,"State governance, regional policy and public administration"
2025-06-04,Teisės ir teisėtvarkos komitetas,(svarstymas),Seimo statuto „Dėl Lietuvos Respublikos Seimo statuto Nr. I-399 59-1 straipsnio pakeitimo“ projektasPateikė Lietuvos Respublikos Vyriausybė,,,"State governance, regional policy and public administration"
2025-06-04,Teisės ir teisėtvarkos komitetas,Kiti klausimai,,J.  Sabatauskas,,"State governance, regional policy and public administration"
2025-05-28,Teisės ir teisėtvarkos komitetas,Baudžiamojo  kodekso 68-1 ir 228 straipsnių pakeitimo įstatymo projektas,XVP-106,J.  SabatauskasV.  GailiusD.  Latvelienė,,Justice
2025-05-28,Teisės ir teisėtvarkos komitetas,Pateikė Jūratė Zailskienė,XVP-106,J.  SabatauskasV.  GailiusD.  Latvelienė,,Culture
2025-05-28,Teisės ir teisėtvarkos komitetas,Posėdžio darbotvarkės tvirtinimas,,J.  SabatauskasD.  Komparskienė,,"State governance, regional policy and public administration"
2025-05-28,Teisės ir teisėtvarkos komitetas,Seimo narių pasiūlymas dėl Konstitucinio Teismo įstatymo Nr. I-67 4 straipsnio pakeitimo įstatymo projekto,I-67,J.  SabatauskasV.  GailiusI.  Leonavičiūtė,,Justice
2025-05-28,Teisės ir teisėtvarkos komitetas,Pateikė Teisės ir teisėtvarkos komitetas,I-67,J.  SabatauskasV.  GailiusI.  Leonavičiūtė,,Public security
