date,committee,question,project,responsible,attendees,theme
2025-06-25,Valstybės valdymo ir savivaldybių komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-06-25,Valstybės valdymo ir savivaldybių komitetas,"2025 m. birželio 6 d. išankstinio tyrimo ataskaita Nr. ITE-1 ,,Gyventojų perspėjimo sistemos modernizavimas, kolektyvinės apsaugos statinių ir priedangų plėtra“ Kviečiami dalyvauti: ​1. Valstybės kontrolė; 2. Vidaus reikalų ministerija; 3. Priešgaisrinės apsaugos ir gelbėjimo departamentas prie VRM.",ITE-1,K.  BiliusV.  RakutisD.  Masaitienė,,Public security
2025-06-25,Valstybės valdymo ir savivaldybių komitetas,Vietos savivaldos įstatymo Nr. I-533 3 ir 22 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Seimo nariai: Simonas Gentvilas; Robertas Kaunas; Aistė Gedvilienė; Mindaugas  Lingė.​,I-533,D.  ŽebelienėR.  TamašunienėA.  PetrošiusD.  Masaitienė,,"State governance, regional policy and public administration"
2025-06-25,Valstybės valdymo ir savivaldybių komitetas,"Valstybės ir savivaldybių turto valdymo, naudojimo ir disponavimo juo įstatymo Nr. VIII-729 14 ir 15 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Seimo narys Linas Urmanavičius​; 2. Finansų ministerija; 3. Lietuvos savivaldybių asociacija.",VIII-729,S.  LuščikasR.  JuškaD.  Pukytė,,Public finance
2025-06-25,Valstybės valdymo ir savivaldybių komitetas,Vyriausiosios tarnybinės etikos komisijos įstatymo Nr. X-1666 18 ir 29 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Vyriausiosios tarnybinės etikos komisija.,X-1666,T.  BarauskasV.  ŠeršniovasG.  Lukošiūnienė,,Justice
2025-06-25,Valstybės valdymo ir savivaldybių komitetas,Kiti klausimai,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-06-18,Valstybės valdymo ir savivaldybių komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-06-18,Valstybės valdymo ir savivaldybių komitetas,"Viešojo administravimo įstatymo Nr. VIII-1234 1, 2, 5, 9, 10, 12, 19, 23, 24, 29, 30, 31, 33, 35, 37, 40 straipsnių ir IV skyriaus pavadinimo pakeitimo, Įstatymo papildymo III-1 skyriumi, 33-1 straipsniu ir priedu bei 29 straipsnio pripažinimo netekusiu galios įstatymo projektas Kviečiami dalyvauti: ​1. Seimo narys Lukas Savickas; 2. Ekonomikos ir inovacijų ministerija; 3. Vidaus reikalų ministerija; 4. Teisingumo ministerija; 5. Lietuvos advokatūra.",VIII-1234,D.  GriškevičiusA.  PetrošiusG.  Lukošiūnienė,,"State governance, regional policy and public administration"
2025-06-18,Valstybės valdymo ir savivaldybių komitetas,Pagrindinis (svarstymo tęsinys),Paslaugų įstatymo Nr. XI-570 pakeitimo įstatymo projektasKviečiami dalyvauti:​1. Ekonomikos ir inovacijų ministerija.,,,"State governance, regional policy and public administration"
2025-06-18,Valstybės valdymo ir savivaldybių komitetas,Pasirengimo steigti Regionų ministeriją eigos stebėsena Kviečiami dalyvauti: ​1. Vidaus reikalų ministerija; 2. Ministro Pirmininko patarėjas regionų politikos klausimais Povilas Saulevičius; 3. Regionų plėtros tarybų pirmininkai; 4. Lietuvos savivaldybių asociacija.,,M.  KatelynasR.  JuškaR.  Mačiulytė,,"State governance, regional policy and public administration"
