date,committee,question,project,responsible,attendees,theme
2025-06-04,Žmogaus teisių komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-06-04,Žmogaus teisių komitetas,Asmens vardo ir pavardės rašymo dokumentuose įstatymo Nr. XIV-903 3 straipsnio pakeitimo įstatymo projektas,XIV-903,L.  ŠedvydisE.  GentvilasE. G.  GibėR.  Ragaliauskienė,,Justice
2025-06-04,Žmogaus teisių komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,L.  ŠedvydisE.  GentvilasL.  Savickas,,Public finance
2025-06-04,Žmogaus teisių komitetas,Kiti klausimai. Dėl kito komiteto posėdžio darbotvarkės.,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-05-28,Žmogaus teisių komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-05-28,Žmogaus teisių komitetas,Žurnalistų etikos inspektoriaus tarnybos 2024 m. veiklos ataskaitos klausymai (parlamentinė kontrolė),,L.  ŠedvydisE. G.  Gibė,,Transportation and communications
2025-05-28,Žmogaus teisių komitetas,Seimo nutarimo „Dėl Dainiaus Radzevičiaus skyrimo žurnalistų etikos inspektoriumi“ projektas Nr. XVP-364,XVP-364,L.  ŠedvydisE. G.  Gibė,,"State governance, regional policy and public administration"
2025-05-28,Žmogaus teisių komitetas,Įstatymo „Dėl užsieniečių teisinės padėties“ Nr. IX-2206 28 straipsnio pakeitimo įstatymo projektas,IX-2206,L.  ŠedvydisM.  MaldeikisR.  Ragaliauskienė,,Justice
2025-05-28,Žmogaus teisių komitetas,Labdaros ir paramos įstatymo Nr. I-172 7 straipsnio 1-1 dalies pakeitimo įstatymo projektas,I-172,L.  ŠedvydisM.  MaldeikisE. G.  Gibė,,Social security and employment
2025-05-28,Žmogaus teisių komitetas,Kiti klausimai.,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-05-28,Žmogaus teisių komitetas,Dėl kito komiteto posėdžio darbotvarkės.,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-05-21,Žmogaus teisių komitetas,"Susirinkimų įstatymo Nr. I-317 4, 6, 7, 8, 9, 12 ir 14 straipsnių pakeitimo įstatymo projektas",I-317,L.  ŠedvydisM.  MaldeikisI.  Strazdė,,Justice
2025-05-21,Žmogaus teisių komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-05-21,Žmogaus teisių komitetas,"Pasiūlymas dėl Europos Parlamento ir Tarybos reglamento, kuriuo nustatoma bendra neteisėtai Sąjungoje esančių trečiųjų šalių piliečių grąžinimo sistema ir panaikinama Europos Parlamento ir Tarybos direktyva 2008/115/EB, Tarybos direktyva 2001/40/EB ir Tarybos sprendimas 2004/191/EB (","ES-2025-24, COM/2025/101",R.  Ragaliauskienė,,Justice
2025-05-21,Žmogaus teisių komitetas,"Lygių galimybių įstatymo Nr. IX-1826 2, 5, 6, 7, 8 ir 9 straipsnių pakeitimo įstatymo projektas",IX-1826,R.  Ragaliauskienė,,Social security and employment
2025-05-21,Žmogaus teisių komitetas,Sveikatos draudimo įstatymo Nr. I-1343 6 straipsnio pakeitimo įstatymo projektas,I-1343,R.  Ragaliauskienė,,Health
2025-05-21,Žmogaus teisių komitetas,Valstybinės duomenų apsaugos inspekcijos  2024 m. veiklos ataskaitos klausymai,,L.  ŠedvydisR.  Ragaliauskienė,,Economic competitiveness and state information resources
2025-05-21,Žmogaus teisių komitetas,Kiti klausimai,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-05-14,Žmogaus teisių komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  ŠedvydisR.  Ragaliauskienė,,"State governance, regional policy and public administration"
2025-05-14,Žmogaus teisių komitetas,Administracinių bylų teisenos įstatymo Nr. VIII-1029 156 straipsnio pakeitimo įstatymo projektas,VIII-1029,L.  ŠedvydisR.  Ragaliauskienė,,Justice
2025-05-14,Žmogaus teisių komitetas,Vaiko teisių apsaugos kontrolieriaus įstaigos 2024 m. veiklos ataskaitos pristatymas,,L.  ŠedvydisE. G.  Gibė,,Justice
2025-05-14,Žmogaus teisių komitetas,"Komisijos Ataskaita Europos Parlamentui ir Tarybai dėl 2016 m. gegužės 11 d. Europos Parlamento ir Tarybos direktyvos (ES) 2016/800 dėl procesinių garantijų vaikams, kurie baudžiamajame procese yra įtariamieji ar kaltinamieji, įgyvendinimo","ES-2024-65, COM/2024/489",R.  Ragaliauskienė,,Justice
2025-05-14,Žmogaus teisių komitetas,Vaiko teisių apsauga baudžiamosiose bylose,,L.  ŠedvydisE. G.  GibėR.  Ragaliauskienė,,Justice
2025-05-14,Žmogaus teisių komitetas,Nepilnamečių vaikų teisių užtikrinimas įkalinimo įstaigose,,L.  ŠedvydisE. G.  GibėI.  Strazdė,,Justice
2025-05-14,Žmogaus teisių komitetas,Kiti klausimai,,L.  ŠedvydisR.  Ragaliauskienė,,"State governance, regional policy and public administration"
2025-05-07,Žmogaus teisių komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-05-07,Žmogaus teisių komitetas,Asmens vardo ir pavardės rašymo dokumentuose įstatymo Nr. XIV-903 3 straipsnio pakeitimo įstatymo projektas,XIV-903,L.  ŠedvydisE.  GentvilasE. G.  GibėR.  Ragaliauskienė,,Justice
2025-05-07,Žmogaus teisių komitetas,"Vartotojų teisių apsaugos įstatymo Nr. I-657 1, 2, 40 straipsnių, aštuntojo skirsnio ir priedo pakeitimo įstatymo projektas",I-657,L.  ŠedvydisL.  SavickasR.  Ragaliauskienė,,Justice
2025-05-07,Žmogaus teisių komitetas,"Civilinio kodekso 6.228-3, 6.228-7, 6.228-10 straipsnių ir priedo pakeitimo įstatymo projektas",XVP-200,L.  ŠedvydisL.  SavickasR.  Ragaliauskienė,,Justice
2025-05-07,Žmogaus teisių komitetas,Mokėjimų įstatymo Nr. VIII-1370 3 straipsnio pakeitimo įstatymo projektas,VIII-1370,L.  ŠedvydisL.  SavickasR.  Ragaliauskienė,,Public finance
2025-05-07,Žmogaus teisių komitetas,Su nekilnojamuoju turtu susijusio kredito įstatymo Nr. XII-2769 7 straipsnio pakeitimo įstatymo projektas,XII-2769,L.  ŠedvydisL.  SavickasR.  Ragaliauskienė,,"Land and food farming, rural development and fisheries"
2025-05-07,Žmogaus teisių komitetas,Gyventojų registro įstatymo Nr. I-2237 9 ir 11 straipsnių pakeitimo įstatymo projektas,I-2237,L.  ŠedvydisM.  MaldeikisI.  Strazdė,,"State governance, regional policy and public administration"
2025-05-07,Žmogaus teisių komitetas,Atstovavimo Lietuvos valstybei Europos Žmogaus Teisių Teisme ir Jungtinių Tautų komitetų bylose 2024 m. veiklos ataskaitos pristatymas,,L.  ŠedvydisR.  Ragaliauskienė,,Foreign policy
2025-05-07,Žmogaus teisių komitetas,Kiti klausimai.,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-04-30,Žmogaus teisių komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-04-30,Žmogaus teisių komitetas,"Komisijos komunikatas Europos Parlamentui, Tarybai, Europos ekonomikos ir socialinių reikalų komitetui ir Regionų komitetui ,,Moterų teisių veiksmų gairės“","ES-2025-26, COM/2025/97",L.  ŠedvydisE.  GentvilasR.  Ragaliauskienė,,Justice
2025-04-30,Žmogaus teisių komitetas,Lietuvos pažanga ir iššūkiai lyčių lygybės srityje. JT Konvencijos dėl visų formų diskriminacijos panaikinimo moterims (CEDAW) priežiūros Komiteto pateiktų rekomendacijų įgyvendinimo stebėsena,,L.  ŠedvydisE.  GentvilasR.  Ragaliauskienė,,Justice
2025-04-30,Žmogaus teisių komitetas,Dėl konferencijos „Karo trauma ir moterų žmogaus teisių apsauga: Moterų žmogaus teisės Lietuvoje 2024“ rezoliucijoje pateiktų siūlymų įgyvendinimo tikslingumo,,L.  ŠedvydisE. G.  GibėR.  Ragaliauskienė,,Justice
2025-04-30,Žmogaus teisių komitetas,Kiti klausimai. Dėl kito komiteto posėdžio darbotvarkės.,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-04-16,Žmogaus teisių komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-04-16,Žmogaus teisių komitetas,Seimo kontrolierių įstaigos 2024 m. veiklos ataskaitos pristatymas,,L.  ŠedvydisE.  GentvilasJ.  SavickienėI.  Strazdė,,"State governance, regional policy and public administration"
2025-04-16,Žmogaus teisių komitetas,Gyventojų registro įstatymo Nr. I-2237 9 ir 11 straipsnių pakeitimo įstatymo projektas,I-2237,L.  ŠedvydisM.  MaldeikisI.  Strazdė,,"State governance, regional policy and public administration"
2025-04-16,Žmogaus teisių komitetas,Kiti klausimai,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-04-09,Žmogaus teisių komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-04-09,Žmogaus teisių komitetas,Lygių galimybių kontrolieriaus tarnybos 2024 m. veiklos ataskaitos pristatymas,,L.  ŠedvydisR.  Ragaliauskienė,,"State governance, regional policy and public administration"
2025-04-09,Žmogaus teisių komitetas,Gyventojų registro įstatymo Nr. I-2237 9 ir 11 straipsnių pakeitimo įstatymo projektas,I-2237,L.  ŠedvydisM.  MaldeikisI.  Strazdė,,"State governance, regional policy and public administration"
2025-04-09,Žmogaus teisių komitetas,Darbo kodekso 138 straipsnio pakeitimo įstatymo projektas,XVP-184,,,Social security and employment
2025-04-09,Žmogaus teisių komitetas,Kiti klausimai. Dėl kito komiteto posėdžio darbotvarkės.,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-03-26,Žmogaus teisių komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
2025-03-26,Žmogaus teisių komitetas,Žvalgybos kontrolieriaus įstaigos 2024 m. veiklos ataskaitos pristatymas,,L.  ŠedvydisI.  Strazdė,,"State governance, regional policy and public administration"
2025-03-26,Žmogaus teisių komitetas,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio ir 36-4 straipsnio pakeitimo įstatymo projektas,I-1234,L.  ŠedvydisA.  NedzinskasE. G.  Gibė,,Justice
2025-03-26,Žmogaus teisių komitetas,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio pakeitimo įstatymo projektas,I-1234,L.  ŠedvydisA.  NedzinskasE. G.  Gibė,,Justice
2025-03-26,Žmogaus teisių komitetas,"Įtariamųjų, kaltinamųjų ir nuteistųjų registro įstatymo Nr. XI-1503 1 ir 6 straipsnių pakeitimo ir įstatymo papildymo 6-1 straipsniu įstatymo projektas",XI-1503,L.  ŠedvydisA.  NedzinskasE. G.  Gibė,,"State governance, regional policy and public administration"
2025-03-26,Žmogaus teisių komitetas,Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,XVP-149,L.  ŠedvydisA.  NedzinskasE. G.  Gibė,,"State governance, regional policy and public administration"
2025-03-26,Žmogaus teisių komitetas,Kiti klausimai.Dėl kito komiteto posėdžio darbotvarkės.,,L.  ŠedvydisJ.  Savickienė,,"State governance, regional policy and public administration"
