date,question,committee,project_id,responsible_actor,invited_presenters
2025-05-28,Posėdžio darbotvarkės tvirtinimas,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,
2025-05-28,Seimo nutarimo „Dėl pavedimo Lietuvos Respublikos valstybės kontrolei atlikti valstybinį auditą“ projektas,Audito komitetas,XVP-333,R.  VyžintasA.  ZuokasD.  Andriūnaitė,
2025-05-28,Kviečiami dalyvauti:,Audito komitetas,XVP-333,R.  VyžintasA.  ZuokasD.  Andriūnaitė,
2025-05-28,"Seimo Energetikos ir darnios plėtros komisijos, Valstybės kontrolės",Audito komitetas,XVP-333,R.  VyžintasA.  ZuokasD.  Andriūnaitė,
2025-05-28,Nevyriausybinių organizacijų plėtros įstatymo Nr. XII-717 10 straipsnio pakeitimo įstatymo projektas,Audito komitetas,XIVP-4176,V.  AleknaR.  JanušonienėD.  Andriūnaitė,
2025-05-28,Kviečiami dalyvauti:,Audito komitetas,XIVP-4176,V.  AleknaR.  JanušonienėD.  Andriūnaitė,
2025-05-28,"Seimo narys A. Bagdonas, Socialinės apsaugos ir darbo ministerijos,",Audito komitetas,XIVP-4176,V.  AleknaR.  JanušonienėD.  Andriūnaitė,
2025-05-28,Finansų ministerijos atstovai,Audito komitetas,XIVP-4176,V.  AleknaR.  JanušonienėD.  Andriūnaitė,
2025-05-28,Labdaros ir paramos įstatymo Nr. I-172 7 straipsnio 1-1 dalies pakeitimo įstatymo projektas,Audito komitetas,XVP-110,R.  JanušonienėV.  AleknaA.  BuragienėD.  Keršienė,
2025-05-28,Kviečiami dalyvauti:,Audito komitetas,XVP-110,R.  JanušonienėV.  AleknaA.  BuragienėD.  Keršienė,
2025-05-28,"Seimo nariai A, Radvilavičius, V. Turauskaitė, A. Anušauskas, Finansų",Audito komitetas,XVP-110,R.  JanušonienėV.  AleknaA.  BuragienėD.  Keršienė,
2025-05-28,ministerijos atstovai,Audito komitetas,XVP-110,R.  JanušonienėV.  AleknaA.  BuragienėD.  Keršienė,
2025-05-28,"2025 m. balandžio 4 d. ataskaita Nr. VAE-2 „Finansinių priemonių (paskolų, garantijų, rizikos kapitalo investicijų) taikymas teikiant valstybės paramą“",Audito komitetas,,R.  JanušonienėJ.  RazmaA.  BuragienėD.  Andriūnaitė,
2025-05-28,Kviečiami dalyvauti:,Audito komitetas,,R.  JanušonienėJ.  RazmaA.  BuragienėD.  Andriūnaitė,
2025-05-28,"Ekonomikos ir inovacijų, Finansų, Valstybės",Audito komitetas,,R.  JanušonienėJ.  RazmaA.  BuragienėD.  Andriūnaitė,
2025-05-28,"kontrolės, UAB ILTE atstovai",Audito komitetas,,R.  JanušonienėJ.  RazmaA.  BuragienėD.  Andriūnaitė,
2025-05-28,"Vyriausiosios tarnybinės etikos komisijos pranešimas „Kai daroma įtaka teisėkūrai, bet tai nelaikoma lobistine veikla – kodėl?“",Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasD.  AndriūnaitėD.  KeršienėL.  Pranaitytė,
2025-05-28,Kviečiami dalyvauti:,Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasD.  AndriūnaitėD.  KeršienėL.  Pranaitytė,
2025-05-28,Vyriausiosios tarnybinės etikos komisijos atstovai,Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasD.  AndriūnaitėD.  KeršienėL.  Pranaitytė,
2025-05-28,"Dėl Seimo statuto „Dėl Lietuvos Respublikos Seimo statuto Nr. I-399 44, 217, 218 straipsnių, ketvirtojo skirsnio pavadinimo pakeitimo, statuto papildymo 231 straipsniu ir priedu“ projektu Nr. XVP-373 siūlomo teisinio reguliavimo",Audito komitetas,,A.  SkardžiusL.  Pranaitytė,
2025-05-28,Kiti klausimai:,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,
2025-05-28,"1. Dėl valstybinio audito ataskaitų, išvadų svarstymo ir kuratorių paskyrimo;",Audito komitetas,,A.  SkardžiusL.  Pranaitytė,
2025-05-28,2. Dėl išvadų rengėjų paskyrimo;,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,
2025-05-28,3. Dėl kito komiteto posėdžio.,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,
2025-05-21,"2025 m. balandžio 25 d. valstybinio audito išvada ir ataskaita Nr. FAE-1 „2014–2020 m. Europos Sąjungos fondų investicijų veiksmų programos įgyvendinimui sukurtos valdymo ir kontrolės sistemos veikimo, sąskaitose pateiktos informacijos ir 2023 m. liepos 1 d.– 2024 m. birželio 30 d. laikotarpiu deklaruotų išlaidų, kurias Europos Komisijos prašoma atlyginti, vertinimas (kontrolės ataskaita pagal Europos Parlamento ir Tarybos reglamento (ES) Nr. 1303/2013 127 straipsnį)“",Audito komitetas,,A.  SkardžiusA.  ZuokasA.  Buragienė,
2025-05-21,Kviečiami dalyvauti:,Audito komitetas,,A.  SkardžiusA.  ZuokasA.  Buragienė,
2025-05-21,"VšĮ Centrinės projektų valdymo agentūros, Viešųjų pirkimų tarnybos, Finansų",Audito komitetas,,A.  SkardžiusA.  ZuokasA.  Buragienė,
2025-05-21,"ministerijos, Ekonomikos ir inovacijų ministerijos, Finansinių nusikaltimų",Audito komitetas,,A.  SkardžiusA.  ZuokasA.  Buragienė,
2025-05-21,"tyrimo tarnybos prie VRM, Specialiųjų tyrimų tarnybos, Valstybės kontrolės,",Audito komitetas,,A.  SkardžiusA.  ZuokasA.  Buragienė,
2025-05-21,VšĮ Inovacijų agentūr,Audito komitetas,,A.  SkardžiusA.  ZuokasA.  Buragienė,
2025-05-21,2025 m. balandžio 25 d. ataskaita Nr. VAE-3 „VĮ Turto banko veikla teikiant valstybės nekilnojamojo turto valdymo ir priežiūros paslaugas“,Audito komitetas,,R.  JanušonienėJ.  RazmaE.  Šukytė,
2025-05-21,Kiti klausimai:,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,
2025-05-21,1. Dėl valstybinio audito ataskaitų svarstymo ir kuratorių paskyrimo;,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,
2025-05-21,2. Dėl kito komiteto posėdžio,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,
2025-05-21,Centralizuotai valdomo valstybės turto valdytojo įstatymo Nr. XII-791 pakeitimo įstatymo projektas (nauja redakcija),Audito komitetas,XVP-312,R.  JanušonienėJ.  RazmaD.  Keršienė,
2025-05-21,Kviečiami dalyvauti:,Audito komitetas,XVP-312,R.  JanušonienėJ.  RazmaD.  Keršienė,
2025-05-21,"Finansų ministerijos, VĮ Turto banko, Konkurencijos tarybos, Specialiųjų",Audito komitetas,XVP-312,R.  JanušonienėJ.  RazmaD.  Keršienė,
2025-05-21,"tyrimų tarnybos, Lietuvos savivaldybių asociacijos, Valstybės kontrolės",Audito komitetas,XVP-312,R.  JanušonienėJ.  RazmaD.  Keršienė,
2025-05-14,Posėdžio darbotvarkės tvirtinimas,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,
2025-05-14,Viešųjų pirkimų tarnybos 2024 m. veiklos ataskaitos pristatymas,Audito komitetas,,A.  SkardžiusJ.  RazmaR.  JanušonienėK.  PodolskisV.  AleknaR.  VyžintasA.  ZuokasD.  KeršienėL.  Pranaitytė,
2025-05-14,Kviečiami dalyvauti:,Audito komitetas,,A.  SkardžiusJ.  RazmaR.  JanušonienėK.  PodolskisV.  AleknaR.  VyžintasA.  ZuokasD.  KeršienėL.  Pranaitytė,
