date,committee,question,project,responsible,attendees
2025-06-26,Biudžeto ir finansų komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SysasD.  Mudėnienė,
2025-06-26,Biudžeto ir finansų komitetas,Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 17 ir 21 straipsnių pakeitimo įstatymo projektas,IX-1007,A.  SysasR.  KuodisV.  ĄžuolasE.  Putrimas,
2025-06-26,Biudžeto ir finansų komitetas,Dėl gautų Seimo narių pasiūlymų ir Teisės departamento pastabų dėl Valstybinio kelių fondo įstatymo projekto XVP-508 ir jį lydinčiųjų įstatymo projektų XVP-509 - XVP-515,,Š.  ŠukevičiusV.  ĄžuolasA.  NarščiuvienėA.  Čekanavičienė,
2025-06-26,Biudžeto ir finansų komitetas,Kiti klausimai,,A.  SysasD.  Mudėnienė,
2025-06-25,Biudžeto ir finansų komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SysasD.  Mudėnienė,
2025-06-25,Biudžeto ir finansų komitetas,"PARLAMENTINĖ KONTROLĖ. 
Būsto paskolų kreditavimo ir refinansavimo tendencijos Kviečiami dalyvauti: ​ Lietuvos banko, Lietuvos bankų asociacijos atstovai​",,A.  SysasM.  Pečiulis,
2025-06-25,Biudžeto ir finansų komitetas,"Dėl gautų Seimo narių pasiūlymų ir Teisės departamento pastabų dėl įstatymų projektų Nr. XVP-432(2), XVP- 436(3), XVP-326(2),  XVP-437(4) ir XVP-438(2) svarstymo Kviečiami dalyvauti: Finansų ministerijos atstovai ​",XVP-432,A.  SysasM.  LingėA.  NarščiuvienėE.  Putrimas,
2025-06-25,Biudžeto ir finansų komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos pirmininkavimo Europos Sąjungos Tarybai 2027 metais"" projektas",XVP-586,A.  SysasM.  LingėM.  Pečiulis,
2025-06-25,Biudžeto ir finansų komitetas,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, EUROPOS VADOVŲ TARYBAI, TARYBAI, EUROPOS CENTRINIAM BANKUI, EUROPOS EKONOMINIŲ IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETUI Santaupų ir investicijų sąjunga Piliečių gerovės ir ekonomikos konkurencingumo skatinimo ES strategija","ES-2025-29, COM/2025/124",A.  SysasV.  ĄžuolasM.  Pečiulis,
2025-06-25,Biudžeto ir finansų komitetas,Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo dėl konkrečių priemonių strateginiams uždaviniams spręsti atliekant laikotarpio vidurio peržiūrą iš dalies keičiami reglamentai (ES) 2021/1058 ir (ES) 2021/1056 ( uždaras ),"ES-2025-44, COM/2025/123",A.  SysasV.  ĄžuolasM.  Pečiulis,
2025-06-25,Biudžeto ir finansų komitetas,Kiti klausimai,,A.  SysasD.  Mudėnienė,
2025-06-18,Biudžeto ir finansų komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SysasD.  Mudėnienė,
2025-06-18,Biudžeto ir finansų komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,R.  BudbergytėG.  SkaistėA.  Čekanavičienė,
2025-06-18,Biudžeto ir finansų komitetas,"Seimo narių PASIŪLYMAI dėl įstatymo projektų XVP-437(4), XVP-436(3), XVP-435, XVP-379  bei Teisės departamento išvada dėl įstatymo projekto XVP-366",,A.  SysasM.  LingėE.  Putrimas,
2025-06-18,Biudžeto ir finansų komitetas,Rinkliavų įstatymo Nr. VIII-1725 11 straipsnio pakeitimo įstatymo projektas,VIII-1725,Š.  ŠukevičiusG.  SkaistėA.  Čekanavičienė,
2025-06-18,Biudžeto ir finansų komitetas,"PARLAMENTINĖ KONTROLĖ
Lietuvos ekonomikos raida ir prognozės. Kviečiami dalyvauti: ​ Lietuvos banko atstovai",,A.  SysasM.  Pečiulis,
2025-06-18,Biudžeto ir finansų komitetas,Kiti klausimai,,A.  SysasD.  Mudėnienė,
2025-06-16,Biudžeto ir finansų komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SysasD.  Mudėnienė,
2025-06-16,Biudžeto ir finansų komitetas,"Europos komisijos pristatymas dėl Lietuvos ekonominės, socialinės, užimtumo, struktūrinės ir biudžeto politikos Kviečiami dalyvauti: ​ Europos komisijos atstovybės Lietuvoje atstovai ​",,A.  SysasD.  MudėnienėM.  Pečiulis,
2025-06-16,Biudžeto ir finansų komitetas,"Seimo narių pasiūlymai dėl įstatytų projektų XVP-436, XVP- 437, XVP-438(2), XVP-433, XVP-435(2), XVP-438(2), XVP-439(2), XVP-440(2) bei Teisės departamento išvados dėl XVP-433, XVP-435(2), XVP-439(2)",,A.  SysasM.  LingėG.  SkaistėE.  PutrimasA.  Narščiuvienė,
2025-06-16,Biudžeto ir finansų komitetas,Valstybinio kelių fondo įstatymo projektas,XVP-508,Š.  ŠukevičiusV.  ĄžuolasA.  Narščiuvienė,
2025-06-16,Biudžeto ir finansų komitetas,"Kelių priežiūros ir plėtros programos finansavimo įstatymo Nr. VIII-2032  6, 8, 9 straipsnių ir 5 priedo pakeitimo, 5, 7, 7-1 straipsnių ir 1, 3, 4 priedų pripažinimo netekusiais galios įstatymo projektas",VIII-2032,Š.  ŠukevičiusV.  ĄžuolasA.  Narščiuvienė,
2025-06-16,Biudžeto ir finansų komitetas,Pagrindinis (svarstymas),"Kelių priežiūros ir plėtros programos finansavimo įstatymo Nr. VIII-2032 6, 7, 8 ir 9 straipsnių pakeitimo ir Įstatymo papildymo 7-1 straipsniu įstatymo Nr. XV-111 2, 3 ir 6 straipsnių pakeitimo ir 1 straipsnio pripažinimo netekusiu galios įstatymo projektas",,
2025-06-16,Biudžeto ir finansų komitetas,Pagrindinis (svarstymas),"Kelių priežiūros ir plėtros programos finansavimo įstatymo Nr. VIII-2032 2, 6, 9 straipsnių ir 2, 5 priedų pakeitimo ir Įstatymo papildymo 6-1 straipsniu įstatymo Nr. XIII-3420 1, 2, 7 straipsnių pakeitimo ir 5 straipsnio pripažinimo netekusiu galios įstatymo projektas",,
2025-06-16,Biudžeto ir finansų komitetas,Pagrindinis (svarstymas),"Kelių įstatymo Nr. I-891 2, 4, 5, 7, 10, 13, 16, 18 ir 20 straipsnių pakeitimo ir Įstatymo papildymo 17-1, 18-1, 20-1 straipsniais ir 1, 2, 3, 4 priedais įstatymo projektas",,
