date,committee,question,project,responsible,attendees
2025-06-11,Ekonomikos komitetas,Posėdžio darbotvarkės tvirtinimas,,S.  BucevičiusR.  Danė,
2025-06-11,Ekonomikos komitetas,Kelių transporto kodekso 9 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Susisiekimo ministerijos atstovai,XVP-480,I.  GelažnikienėA.  BagdonasD.  Šaltmeris,
2025-06-11,Ekonomikos komitetas,Pagrindinis (svarstymas),Transporto veiklos pagrindų įstatymo Nr. I-1863 12 straipsnio pakeitimo įstatymo projektasKviečiami dalyvauti:​Susisiekimo ministerijos atstovai,,
2025-06-11,Ekonomikos komitetas,"Turizmo įstatymo Nr. VIII-667 5, 6, 7, 10, 11, 12, 13, 14, 15, 19, 21, 24, 28, 31, 33, 35, 36, 40 ir 43 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Ekonomikos ir inovacijų ministerijos atstovai",VIII-667,B.  VėsaitėJ.  RojakaA.  BagdonasI.  Jurkšuvienė,
2025-06-11,Ekonomikos komitetas,Rinkliavų įstatymo Nr. VIII-1725 11 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Vidaus reikalų ministerijos atstovai,VIII-1725,Z.  BalčytisV.  FiodorovasI.  Jurkšuvienė,
2025-06-11,Ekonomikos komitetas,"Oficialiosios statistikos ir valstybės duomenų valdysenos įstatymo Nr. IX-575 4, 5 ir 6 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Finansų ministerijos, Valstybinės duomenų agentūros atstovai​",IX-575,I.  GelažnikienėJ.  RojakaD.  KreivysI.  Jurkšuvienė,
2025-06-11,Ekonomikos komitetas,"Pelno mokesčio įstatymo Nr. IX-675 58 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Ekonomikos ir inovacijų ministerijos, VšĮ „Investuok Lietuvoje“ atstovai​",IX-675,J.  RojakaA.  BagdonasL.  Jasiukėnienė,
2025-06-11,Ekonomikos komitetas,"Atsinaujinančių išteklių energetikos įstatymo Nr. XI-1375 1, 2, 3, 5, 6, 7, 11, 12, 13-1, 14, 14-1, 15-1, 16, 19, 20, 20-1, 20-2, 22, 22-1, 23, 28, 29, 30, 31, 37, 38, 39-1, 39-3, 39-5, 39-6, 45, 46, 48, 49, 51, 55, 57, 59, 60, 63, 64, 65 straipsnių, septintojo skirsnio pavadinimo, priedo pakeitimo ir Įstatymo papildymo 1-1, 39-7, 48-1, 48-2, 58-1 straipsniais įstatymo projektas Kviečiami dalyvauti: ​Seimo narys R. Žemaitaitis, Energetikos ministerijos, Valstybinės energetikos reguliavimo tarnybos, Nacionalinės žemės tarnybos, Lietuvos atsinaujinančių išteklių energetikos konfederacijos, Lietuvos inovatyvios energetikos ir prekybos asociacijos,  Atsinaujinančių degalų asociacijos  FUTURE FUEL, VšĮ „Žiedinė ekonomika“, UAB „Neste Lietuva“, UAB „Cirkle K Lietuva“, AB „ORLEN Lietuva“ atstovai​",XI-1375,B.  VėsaitėD.  KreivysL.  Jasiukėnienė,
2025-06-11,Ekonomikos komitetas,Pagrindinis (svarstymas),"Elektros energetikos įstatymo Nr. VIII-1881 2, 16, 17, 21-1, 22, 31, 39, 48, 48-1, 48-2, 48-3, 52-1, 73-2, 75-2 straipsnių, priedo pakeitimo ir Įstatymo papildymo septintuoju-2 skirsniu įstatymo projektas",,
2025-06-11,Ekonomikos komitetas,Pagrindinis (svarstymas),"Energetikos įstatymo Nr. IX-884 2, 13, 13-1, 33 ir 37 straipsnių ir priedo pakeitimo įstatymo projektas",,
