date,committee,question,project,responsible,attendees
2025-06-11,Kaimo reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  MažeikaA.  Matulevičienė,
2025-06-11,Kaimo reikalų komitetas,"Žemės įstatymo Nr. I-446 2, 7, 8, 13-1, 23, 37, 42 ir 45 straipsnių pakeitimo įstatymo projektas ​ Kviečiami dalyvauti: Ekonomikos ir inovacijų ministerijos, VšĮ „Investuok Lietuvoje“, Krašto apsaugos ministerijos, ​Žemės ūkio ministerijos,​ Specialiųjų tyrimų tarnybos, ​žemdirbių savivaldos organizacijų atstovai​​​​",I-446,T.  PrajaraG.  Remeikienė,
2025-06-11,Kaimo reikalų komitetas,"Žemės reformos įstatymo Nr. I-1607 13 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Žemės ūkio ministerijos,​ Specialiųjų tyrimų tarnybos, ​žemdirbių savivaldos organizacijų atstovai​​​​​",I-1607,T.  PrajaraG.  Remeikienė,
2025-06-11,Kaimo reikalų komitetas,"Seimo kanceliarijos Teisės departamento pastabos ir Seimo narių pasiūlymai Melioracijos įstatymo Nr. I-323 1, 2, 7 ir 9 straipsnių pakeitimo ir Įstatymo papildymo VI skyriumi įstatymo projektui Kviečiami dalyvauti: ​Seimo nariai (pasiūlymo teikėjai) Kęstutis Mažeika, Matas Skamarakas, Alvydas Mockus ir kt., Seimo kanceliarijos Teisės departamento ​atstovai",I-323,T.  PrajaraK.  StarkevičiusG.  Rimeisienė,
2025-06-11,Kaimo reikalų komitetas,"Žemės ūkio, maisto ūkio ir kaimo plėtros įstatymo Nr. IX-987 1, 2 ir 11 straipsnių pakeitimo įstatymo projektas ​ Kviečiami dalyvauti: Žemės ūkio ministerijos,​ ​žemdirbių savivaldos organizacijų atstovai",IX-987,K.  MažeikaV.  PranckietisG.  Remeikienė,
2025-06-11,Kaimo reikalų komitetas,"Ūkininko ūkio įstatymo Nr. VIII-1159 pakeitimo įstatymo projektas (nauja redakcija) Kviečiami dalyvauti: ​ ​Žemės ūkio ministerijos,​ ​žemdirbių savivaldos organizacijų atstovai​​​​",VIII-1159,K.  MažeikaV.  PranckietisG.  Remeikienė,
2025-06-11,Kaimo reikalų komitetas,"Žuvininkystės įstatymo Nr. VIII-1756 5, 11, 13 ir 55 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Žemės ūkio ministerijos,​ ​žemdirbių savivaldos organizacijų atstovai​​​​​",VIII-1756,K.  MažeikaV.  PranckietisG.  Rimeisienė,
2025-06-11,Kaimo reikalų komitetas,"Mokesčio už aplinkos teršimą įstatymo Nr. VIII-1183 4 ir 9 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​ Žemės ūkio ministerijos,​ ​žemdirbių savivaldos organizacijų atstovai​​ ​",VIII-1183,K.  MažeikaV.  PranckietisD.  Černiavskienė,
2025-06-11,Kaimo reikalų komitetas,"Veterinarijos įstatymo Nr. I-2110 2, 3, 6 16 straipsnių ir priedo pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Žemės ūkio ministerijos,​ ​žemdirbių savivaldos organizacijų atstovai​​​",I-2110,K.  MažeikaV.  PranckietisS.  Kairienė,
2025-06-11,Kaimo reikalų komitetas,"Veterinarinių vaistų įstatymo Nr. XIV-1088 2, 3, 5, 6 ir 11 straipsnių pakeitimo ir Įstatymo papildymo 2-1 straipsniu įstatymo projektas Kviečiami dalyvauti: ​Žemės ūkio ministerijos,​ ​žemdirbių savivaldos organizacijų atstovai​​​",XIV-1088,K.  MažeikaV.  PranckietisS.  Kairienė,
2025-06-11,Kaimo reikalų komitetas,"Pašarų įstatymo Nr. VIII-1610 3, 5 straipsnių ir III skyriaus pavadinimo pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Žemės ūkio ministerijos,​ ​žemdirbių savivaldos organizacijų atstovai​​​",VIII-1610,K.  MažeikaV.  PranckietisS.  Kairienė,
2025-06-11,Kaimo reikalų komitetas,"Žemės ūkio, maisto ūkio ir kaimo plėtros įstatymo Nr. IX-987 2, 3, 4, 8, 10 ir 13 straipsnių pakeitimo įstatymo Nr. XIV-3115 3, 4, 5, 6 ir 7 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​ Žemės ūkio ministerijos,​ ​žemdirbių savivaldos organizacijų atstovai​​ ​",IX-987; XIV-3115,M.  SkamarakasV.  PranckietisD.  Černiavskienė,
2025-06-11,Kaimo reikalų komitetas,"Žemės ūkio paskirties žemės įsigijimo įstatymo Nr. IX-1314 4 ir 5 straipsnių pakeitimo įstatymo Nr. XIV-3117 1 ir 2 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​ Žemės ūkio ministerijos,​ ​žemdirbių savivaldos organizacijų atstovai​​ ​",IX-1314; XIV-3117,M.  SkamarakasV.  PranckietisD.  Černiavskienė,
2025-06-11,Kaimo reikalų komitetas,"Žemės įstatymo Nr. I-446 2, 7, 32, 41, 45, 49, 50, 51 ir 52 pakeitimo įstatymo Nr. XIV-3116 3 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​ Žemės ūkio ministerijos,​ ​žemdirbių savivaldos organizacijų atstovai​​ ​",I-446; XIV-3116,M.  SkamarakasV.  PranckietisD.  Černiavskienė,
2025-06-11,Kaimo reikalų komitetas,"Žemės ūkio ir miškininkystės paslaugų teikimo pagal paslaugų kvitą įstatymo Nr. XI-2411 2 ir 4 straipsnių pakeitimo įstatymo Nr. XIV-3123 1 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​ Žemės ūkio ministerijos,​ ​žemdirbių savivaldos organizacijų atstovai​​ ​",XI-2411; XIV-3123,M.  SkamarakasV.  PranckietisD.  Černiavskienė,
2025-06-11,Kaimo reikalų komitetas,"Mokesčio už aplinkos teršimą įstatymo Nr. VIII-1183 9 straipsnio pakeitimo įstatymo Nr. XIV-3118 1 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​ Žemės ūkio ministerijos,​ ​žemdirbių savivaldos organizacijų atstovai​​ ​",VIII-1183; XIV-3118,M.  SkamarakasV.  PranckietisD.  Černiavskienė,
2025-06-11,Kaimo reikalų komitetas,"Turizmo įstatymo Nr. VIII-667 32 straipsnio pakeitimo įstatymo projektas ​ Kviečiami dalyvauti: Projekto iniciatorius - ​Seimo narys Artūras Zuokas​, Ekonomikos ir inovacijų bei Teisingumo ministerijų, Seimo Ekonomikos komiteto, Lietuvos kaimo turizmo asociacijos atstovai",VIII-667,M.  SkamarakasS.  Kairienė,
2025-06-11,Kaimo reikalų komitetas,Kiti klausimai,,K.  MažeikaA.  Matulevičienė,
