date,committee,question,project,responsible,attendees
2025-06-18,Kultūros komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  VilkauskasR.  Varanauskienė,
2025-06-18,Kultūros komitetas,Dainų švenčių tradicijos įstatymo Nr. X-1334 4 ir 16 straipsnių pakeitimo įstatymo projektas,X-1334,R.  BaškienėV.  JuozapaitisM.  Gureckienė,
2025-06-18,Kultūros komitetas,Visuomenės informavimo įstatymo Nr. I-1418 50 straipsnio pakeitimo įstatymo projektas,I-1418,K.  VilkauskasV.  KernagisM.  Gureckienė,
2025-06-18,Kultūros komitetas,"XVP-586	Seimo nutarimo „Dėl Lietuvos Respublikos pirmininkavimo Europos Sąjungos Tarybai 2027 metais"" projektas",,K.  VilkauskasV.  JuozapaitisR.  VaranauskienėA.  Pocienė,
2025-06-18,Kultūros komitetas,Kiti klausimai,,K.  VilkauskasR.  Varanauskienė,
2025-06-18,Kultūros komitetas,Posėdžio darbotvarkės tvirtinimas (uždaras klausimais),,K.  VilkauskasG.  JeglinskasR.  VaranauskienėV.  Kaminskienė,
2025-06-18,Kultūros komitetas,Dėl Lietuvos kultūros vertybių išsaugojimo (uždaras klausimas),,K.  VilkauskasG.  JeglinskasA.  JonaitienėG.  Kazėnas,
2025-06-11,Kultūros komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  VilkauskasK.  BiliusR.  VaranauskienėK.  Šimkutė,
2025-06-11,Kultūros komitetas,"Tyrimo ""Savivaldybių veiklos kultūros paveldo apsaugos srityje 2023 metais"" pristatymas",,K.  VilkauskasV.  JuozapaitisK.  BiliusR.  JuškaM.  GureckienėD.  Pukytė,
2025-06-11,Kultūros komitetas,Kultūros politika regionuose kaip atskirties mažinimas,,K.  VilkauskasV.  JuozapaitisK.  BiliusR.  JuškaA.  JonaitienėD.  Pukytė,
2025-06-11,Kultūros komitetas,Kiti klausimai,,K.  VilkauskasK.  BiliusR.  VaranauskienėK.  Šimkutė,
2025-06-11,Kultūros komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  VilkauskasK.  BiliusR.  VaranauskienėK.  Šimkutė,
2025-06-11,Kultūros komitetas,"Tyrimo ""Savivaldybių veiklos kultūros paveldo apsaugos srityje 2023 metais"" pristatymas",,K.  VilkauskasV.  JuozapaitisK.  BiliusR.  JuškaM.  GureckienėD.  Pukytė,
2025-06-11,Kultūros komitetas,"Kultūros politika regionuose, kaip atskirties mažinimas",,K.  VilkauskasV.  JuozapaitisK.  BiliusR.  JuškaA.  JonaitienėD.  Pukytė,
2025-06-11,Kultūros komitetas,Kiti klausimai,,K.  VilkauskasK.  BiliusR.  VaranauskienėK.  Šimkutė,
2025-06-04,Kultūros komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  VilkauskasR.  Varanauskienė,
2025-06-04,Kultūros komitetas,Dainų švenčių tradicijos įstatymo Nr. X-1334 4 straipsnio pakeitimo įstatymo projektas,X-1334,R.  BaškienėV.  JuozapaitisM.  Gureckienė,
2025-06-04,Kultūros komitetas,Seimo nutarimo „Dėl Dainiaus Radzevičiaus skyrimo žurnalistų etikos inspektoriumi“ projektas,XVP-364,K.  VilkauskasV.  JuozapaitisA.  Pocienė,
2025-06-04,Kultūros komitetas,Valstybės kontrolės vertinimo ataskaita „UNESCO pasaulio paveldo objektų valdymas ir saugojimas“,,K.  VilkauskasV.  JuozapaitisM.  Gureckienė,
