date,committee,question,project,responsible,attendees
2025-06-04,Nacionalinio saugumo ir gynybos komitetas,Posėdžio darbotvarkės tvirtinimas,,G.  JeglinskasE.  Sinkevičius,
2025-06-04,Nacionalinio saugumo ir gynybos komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,G.  JeglinskasV.  Kaminskienė,
2025-06-04,Nacionalinio saugumo ir gynybos komitetas,"Lietuvos kariuomenės Rūdninkų karinio poligono įstatymo Nr. XIV-1015 1 straipsnio, 3 straipsnio, 7 straipsnio, III skirsnio pavadinimo pakeitimo, Įstatymo papildymo 8-1 straipsniu ir 10 straipsnio pakeitimo įstatymo projektas",XIV-1015,G.  JeglinskasA.  PociusG.  Kazėnas,
2025-06-04,Nacionalinio saugumo ir gynybos komitetas,"Poligrafo naudojimo įstatymo Nr. VIII-1906 2, 4, 5, 7, 8, 9 ir 10 straipsnių pakeitimo įstatymo projektas",VIII-1906,G.  JeglinskasD.  GaižauskasE.  Sinkevičius,
2025-06-04,Nacionalinio saugumo ir gynybos komitetas,Dėl Lietuvos Respublikos gynybos atašė ir gynybos atašė pavaduotojo kandidatūrų,,G.  JeglinskasE.  Sinkevičius,
2025-06-04,Nacionalinio saugumo ir gynybos komitetas,Kiti klausimai,,G.  JeglinskasE.  Sinkevičius,
2025-05-28,Nacionalinio saugumo ir gynybos komitetas,Posėdžio darbotvarkės tvirtinimas,,G.  JeglinskasE.  Sinkevičius,
2025-05-28,Nacionalinio saugumo ir gynybos komitetas,Dėl gynybos srities įmonių holdingo kūrimo pažangos,,G.  JeglinskasV.  Kaminskienė,
2025-05-28,Nacionalinio saugumo ir gynybos komitetas,Dėl karo komendantūrų sistemos veikimo,,G.  JeglinskasG.  Kazėnas,
2025-05-28,Nacionalinio saugumo ir gynybos komitetas,Laisvės gynėjo teisinio statuso įstatymo Nr. XIV-389 7 straipsnio pakeitimo įstatymo projektas,XIV-389,G.  JeglinskasA.  PociusG.  Kazėnas,
2025-05-28,Nacionalinio saugumo ir gynybos komitetas,Kiti klausimai,,G.  JeglinskasE.  Sinkevičius,
2025-05-21,Nacionalinio saugumo ir gynybos komitetas,Posėdžio darbotvarkės tvirtinimas,,G.  JeglinskasE.  Sinkevičius,
2025-05-21,Nacionalinio saugumo ir gynybos komitetas,"Mobilizacijos ir priimančiosios šalies paramos įstatymo Nr. I-1623 8, 10 ir 14 straipsnių pakeitimo įstatymo projektas",I-1623,G.  JeglinskasA.  PociusG.  Kazėnas,
2025-05-21,Nacionalinio saugumo ir gynybos komitetas,Laisvės gynėjo teisinio statuso įstatymo Nr. XIV-389 7 straipsnio pakeitimo įstatymo projektas,XIV-389,G.  JeglinskasA.  PociusG.  Kazėnas,
2025-05-21,Nacionalinio saugumo ir gynybos komitetas,Valstybės ir tarnybos paslapčių įstatymo Nr. VIII-1443 15 straipsnio pakeitimo įstatymo projektas,VIII-1443,D.  GaižauskasP.  VisockasE.  Sinkevičius,
2025-05-21,Nacionalinio saugumo ir gynybos komitetas,Kiti klausimai,,G.  JeglinskasE.  Sinkevičius,
2025-05-14,Nacionalinio saugumo ir gynybos komitetas,Posėdžio darbotvarkės tvirtinimas,,G.  JeglinskasE.  Sinkevičius,
2025-05-14,Nacionalinio saugumo ir gynybos komitetas,Baltoji knyga dėl Europos gynybos ir Europos perginklavimo planas:  pasirengimas 2030 m.,,G.  JeglinskasV.  Greckaitė,
