date,committee,question,project,responsible,attendees
2025-06-25,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-06-25,Socialinių reikalų ir darbo komitetas,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 6, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37, 40 straipsnių, V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas",IX-1691,J.  ZailskienėP.  KuzmickienėD.  Jonėnienė,
2025-06-25,Socialinių reikalų ir darbo komitetas,Pagrindinis (pasiūlymų svarstymas),Socialinio draudimo pensijų įstatymo Nr. I-549 11 ir 12 straipsnių pakeitimo įstatymo projektas,,
2025-06-25,Socialinių reikalų ir darbo komitetas,Pagrindinis (pasiūlymų svarstymas),"Valstybinio socialinio draudimo įstatymo Nr. I-1336 32, 41 straipsnių pakeitimo ir Įstatymo papildymo 40-1 straipsniu įstatymo projektas",,
2025-06-25,Socialinių reikalų ir darbo komitetas,Dėl situacijos darbo rinkoje (informacijos išklausymas),,L.  KukuraitisE.  Bulotaitė,
2025-06-25,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-06-18,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-06-18,Socialinių reikalų ir darbo komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos pirmininkavimo Europos Sąjungos Tarybai 2027 metais"" projektas",XVP-586,D.  Aleksejūnienė,
2025-06-18,Socialinių reikalų ir darbo komitetas,Seimo nutarimo „Dėl 2024 metų Valstybės socialinių fondų metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-446,M.  PetrauskaitėA.  ValinskasD.  Jonėnienė,
2025-06-18,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Seimo nutarimo „Dėl 2024 metų Pensijų anuitetų fondo metinių ataskaitų rinkinio patvirtinimo“ projektas,,
2025-06-18,Socialinių reikalų ir darbo komitetas,"Papildomo savanoriško pensijų kaupimo įstatymo Nr. VIII-1212 2, 6, 7, 13, 20, 21, 31, 32, 35, 40, 45, 46, 47, 50, 52, 58, 58-2 ir 58-3 straipsnių pakeitimo ir Įstatymo papildymo 5-1, 7-1 ir 49-1 straipsniais įstatymo projektas",VIII-1212,L.  KukuraitisP.  KuzmickienėI.  Kuodienė,
2025-06-18,Socialinių reikalų ir darbo komitetas,Papildomas (svarstymas),Pensijų kaupimo įstatymo Nr. IX-1691 20 ir 21 straipsnių pakeitimo ir Įstatymo papildymo 26-1 straipsniu įstatymo projektas,,
2025-06-18,Socialinių reikalų ir darbo komitetas,Darbo kodekso 138 straipsnio pakeitimo įstatymo projektas,XVP-184,D.  PetkevičienėE.  RudelienėE.  Bulotaitė,
2025-06-18,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Darbo kodekso 138 straipsnio pakeitimo įstatymo projektas,,
2025-06-18,Socialinių reikalų ir darbo komitetas,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 6, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37, 40 straipsnių, V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas",IX-1691,J.  ZailskienėP.  KuzmickienėD.  Jonėnienė,
2025-06-18,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-06-13,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-06-13,Socialinių reikalų ir darbo komitetas,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37 ir 40 straipsnių ir V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas",IX-1691,J.  ZailskienėP.  KuzmickienėD.  Jonėnienė,
2025-06-13,Socialinių reikalų ir darbo komitetas,Papildomas (svarstymas),Civilinio proceso kodekso 739 straipsnio pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Socialinio draudimo pensijų įstatymo Nr. I-549 11 ir 12 straipsnių pakeitimo įstatymo projektas,,
