date,committee,question,project,responsible,attendees
2025-06-04,Švietimo ir mokslo komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  AleknavičienėL.  Vingrytė,
2025-06-04,Švietimo ir mokslo komitetas,Mokslo ir studijų įstatymo Nr. XI-242 59 straipsnio pakeitimo įstatymo projektas,XI-242,L.  KazlavickasV.  AleknavičienėR.  Steponėnienė,
2025-06-04,Švietimo ir mokslo komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,,
2025-06-04,Švietimo ir mokslo komitetas,Lietuvos įtraukties švietime centro veiklos pristatymas,,V.  AleknavičienėD.  Žegunė,
2025-06-04,Švietimo ir mokslo komitetas,"Valstybės kontrolės auditas ""Švietimo skaitmeninė transformacija mokyklose""",,,
2025-06-04,Švietimo ir mokslo komitetas,Kiti klausimai,,V.  AleknavičienėL.  Vingrytė,
2025-06-11,Švietimo ir mokslo komitetas,Posėdžio darbotvarkės tvirtinimas,,I.  KižienėV.  Aleknavičienė,
2025-06-11,Švietimo ir mokslo komitetas,"Įtraukties švietime apžvalga, švietimo pagalbos specialistų trūkumo ir rengimo tvarkos klausimai",,I.  KižienėV.  AleknavičienėI.  ŽukauskaitėD.  Žegunė,
2025-06-11,Švietimo ir mokslo komitetas,Kiti klausimai,,I.  KižienėV.  Aleknavičienė,
2025-05-21,Švietimo ir mokslo komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  GrubliauskasV.  AleknavičienėK.  GulbinskienėL.  Vingrytė,
2025-05-21,Švietimo ir mokslo komitetas,Švietimas kaip valstybės pažangos veiksnys: strateginė vizija,,A.  Jakavičiutė-MiliauskienėL.  KazlavickasG.  ViliūnasA.  GrigienėL.  Vingrytė,
2025-05-21,Švietimo ir mokslo komitetas,Švietimas kaip valstybės pažangos veiksnys: strateginė vizija,,A.  Jakavičiutė-MiliauskienėL.  KazlavickasG.  ViliūnasA.  GrigienėL.  Vingrytė,
2025-05-21,Švietimo ir mokslo komitetas,"Lietuvos Respublikos švietimo, mokslo ir sporto ministrė Raminta Popovienė",,A.  Jakavičiutė-MiliauskienėL.  KazlavickasG.  ViliūnasA.  GrigienėL.  Vingrytė,
