date,question,committee,project_id,responsible_actor,invited_presenters
2025-05-28,Posėdžio darbotvarkės tvirtinimas,Teisės ir teisėtvarkos komitetas,,J.  SabatauskasD.  Komparskienė,
2025-05-28,Seimo narių pasiūlymas dėl Konstitucinio Teismo įstatymo Nr. I-67 4 straipsnio pakeitimo įstatymo projekto,Teisės ir teisėtvarkos komitetas,XVP-130(2),J.  SabatauskasV.  GailiusI.  Leonavičiūtė,
2025-05-28,Pateikė Teisės ir teisėtvarkos komitetas,Teisės ir teisėtvarkos komitetas,XVP-130(2),J.  SabatauskasV.  GailiusI.  Leonavičiūtė,
2025-05-28,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,Teisės ir teisėtvarkos komitetas,XVP-453,J.  SabatauskasV.  GailiusJ.  Janušauskienė,
2025-05-28,Pateikė Lietuvos Respublikos Vyriausybė,Teisės ir teisėtvarkos komitetas,XVP-453,J.  SabatauskasV.  GailiusJ.  Janušauskienė,
2025-05-28,"Administracinių nusižengimų kodekso 314, 356, 589 straipsnių pakeitimo įstatymo projektas",Teisės ir teisėtvarkos komitetas,XIVP-4210,J.  SabatauskasV.  GailiusA.  ŠirinskienėL.  Zdanavičienė,
2025-05-28,Pateikė Lietuvos Respublikos Vyriausybė,Teisės ir teisėtvarkos komitetas,XIVP-4210,J.  SabatauskasV.  GailiusA.  ŠirinskienėL.  Zdanavičienė,
2025-05-28,Administracinių bylų teisenos įstatymo Nr. VIII-1029 156 straipsnio pakeitimo įstatymo projektas,Teisės ir teisėtvarkos komitetas,XVP-360,J.  SabatauskasV.  GailiusL.  Zdanavičienė,
2025-05-28,Pateikė Lietuvos Respublikos Vyriausybė,Teisės ir teisėtvarkos komitetas,XVP-360,J.  SabatauskasV.  GailiusL.  Zdanavičienė,
2025-05-28,"Susirinkimų įstatymo Nr. I-317 4, 6, 7, 8, 9, 12 ir 14 straipsnių pakeitimo įstatymo projektas",Teisės ir teisėtvarkos komitetas,XVP-108,J.  SabatauskasV.  GailiusŽ.  Jerochovienė,
2025-05-28,Pateikė Tomas Tomilinas,Teisės ir teisėtvarkos komitetas,XVP-108,J.  SabatauskasV.  GailiusŽ.  Jerochovienė,
2025-05-28,Savivaldybių ekologinių investicinių vietovių pagrindų įstatymo projektas,Teisės ir teisėtvarkos komitetas,GP_XVP-393,J.  SabatauskasV.  GailiusŽ.  Jerochovienė,
2025-05-28,Pateikė Kęstutis Vilkauskas,Teisės ir teisėtvarkos komitetas,GP_XVP-393,J.  SabatauskasV.  GailiusŽ.  Jerochovienė,
