date,committee,question,project,responsible,attendees
2025-06-04,Užsienio reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,R.  MotuzasE.  Zelenka,
2025-06-04,Užsienio reikalų komitetas,"Informacija po Vilniaus viršūnių susitikimo, vykusio 2025 m. birželio 2 d.  ( uždaras )",,R.  MotuzasJ.  Valantinas,
2025-06-04,Užsienio reikalų komitetas,Valstybinio audito ataskaita Nr. VAE-5 „Užsienio reikalų ministerijos veikla užtikrinant konsulinių funkcijų vykdymą“,VAE-5,R.  MotuzasE.  Zelenka,
2025-06-04,Užsienio reikalų komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,J.  ŠukevičienėA.  LydekaE.  Zelenka,
2025-06-04,Užsienio reikalų komitetas,"Seimo kanceliarijos Teisės departamento išvada dėl Diplomatinės tarnybos įstatymo Nr. VIII-1012 3, 17, 37, 41, 42, 43, 47, 49, 55, 61, 62, 65, 87 92, 95 straipsnių, X skyriaus pavadinimo, priedo pakeitimo ir Įstatymo papildymo 67-1 straipsniu įstatymo projekto Nr. XIVP-4249(2)",VIII-1012; XIVP-4249,R.  MotuzasA.  AžubalisL.  Plyniuvienė,
2025-06-04,Užsienio reikalų komitetas,Kiti klausimai,,R.  MotuzasE.  Zelenka,
2025-06-04,Užsienio reikalų komitetas,"Maisto sauga ir žemės ūkio politika:
Bendra žemės ūkio politika (BŽŪP).
Tvari ir saugi maisto tiekimo grandinė (Žemės ūkio ir maisto sektoriaus vizija)
 ( uždaras ) Kviečiami dalyvauti: ​ Žemės ūkio viceministras Andrius Palionis ​",,R.  BaranovasI.  ŠimonytėT.  TomilinasL.  BalsysJ.  ŠukevičienėV.  Čmilytė-NielsenR.  Morkūnaitė-MikulėnienėV.  ĄžuolasK.  NeimantasE.  ZingerisA.  AžubalisM.  Lukoševičius,
2025-06-04,Užsienio reikalų komitetas,Kiti klausimai,,R.  BaranovasM.  Lukoševičius,
2025-05-28,Užsienio reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,R.  BudbergytėD.  Asevičienė,
2025-05-28,Užsienio reikalų komitetas,"Ministro ataskaita apie  Europos Sąjungos Bendrųjų reikalų tarybos posėdį, vykusį 2025 m. balandžio 27 d. ( uždaras ) Kviečiami dalyvauti: ​ Užsienio reikalų ministras Kęstutis Budrys ​",,R.  BaranovasA.  LydekaM.  Lukoševičius,
2025-05-28,Užsienio reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,R.  MotuzasE.  Zelenka,
2025-05-28,Užsienio reikalų komitetas,Ministro ataskaita apie 2025 m. gegužės 20 d. Europos Sąjungos Užsienio reikalų tarybos (gynybos klausimais) posėdį  ( uždaras ),,R.  MotuzasL.  Plyniuvienė,
2025-05-28,Užsienio reikalų komitetas,Ministro ataskaita apie 2025 m. gegužės 20 d. Europos Sąjungos Užsienio reikalų tarybos posėdį ( uždaras ),,R.  MotuzasJ.  Valantinas,
