committee,questions,empty_questions,empty_dates,date_range,unique_dates,questions/week,avg_q_per_date,flag
Audito Komitetas,190,0,0,2025-03-19 – 2025-06-04,10,17.29,19.0,⚠ daug klausimų viename posėdyje
Valstybes Valdymo Ir Savivaldybiu Komitetas,166,0,0,2024-12-18 – 2025-06-04,12,6.93,13.83,
Biudzeto Ir Finansu Komitetas,161,0,0,2025-04-09 – 2025-06-04,11,20.16,14.64,
Kaimo Reikalu Komitetas,125,0,0,2025-03-19 – 2025-06-04,11,11.34,11.36,
Ateities Komitetas,122,0,0,2025-03-26 – 2025-06-04,9,12.18,13.56,
Teises Ir Teisetvarkos Komitetas,109,0,0,2025-05-07 – 2025-06-04,6,27.23,18.17,⚠ daug klausimų viename posėdyje
Ekonomikos Komitetas,88,0,0,2025-04-16 – 2025-06-04,8,12.6,11.0,
Aplinkos Apsaugos Komitetas,83,0,0,2025-04-23 – 2025-06-04,10,13.86,8.3,
Socialiniu Reikalu Ir Darbo Komitetas,78,0,0,2025-04-02 – 2025-06-04,10,8.68,7.8,
Svietimo Ir Mokslo Komitetas,75,0,0,2025-03-19 – 2025-06-11,10,6.23,7.5,
Kulturos Komitetas,70,0,0,2025-04-02 – 2025-06-04,9,7.77,7.78,
Sveikatos Reikalu Komitetas,61,0,0,2025-03-26 – 2025-06-04,10,6.09,6.1,
Uzsienio Reikalu Komitetas,58,0,0,2025-04-09 – 2025-06-04,8,7.28,7.25,
Europos Reikalu Komitetas,56,0,0,2025-05-14 – 2025-06-04,4,18.69,14.0,
Zmogaus Teisiu Komitetas,55,0,0,2025-03-26 – 2025-06-04,9,5.53,6.11,
Nacionalinio Saugumo Ir Gynybos Komitetas,50,0,0,2025-04-09 – 2025-06-04,9,6.23,5.56,
