date,question,committee
2025-05-23,Atliekų tvarkymo įstatymo Nr. VIII-787 pakeitimo įstatymo projektas,Aplinkos apsaugos komitetas
2025-05-23,"Atliekų tvarkymo įstatymo Nr. VIII-787 1, 2, 3, 3-1, 3-2, 4, 7, 11-1, 12-1, 18-2, 22, 30, 32, 33, 34, 34-1, 34-2, 34-3, 34-4, 34-7, 34-8, 34-15, 34-18, 34-23, 34-25, 34-26, 34-28, 34-31 straipsnių, šeštojo skirsnio, 5 priedo pakeitimo ir Įstatymo papildymo 32-1 straipsniu ir antruoju-2 skirsniu įstatymo Nr. XIV-407 14 ir 33 straipsnių pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-23,"Pakuočių ir pakuočių atliekų tvarkymo įstatymo Nr. IX-517 2, 6, 7, 7-1, 7-2, 10, 11-2 straipsnių pakeitimo ir Įstatymo papildymo 10-1 straipsniu įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-23,"Mokesčio už aplinkos teršimą įstatymo Nr. VIII-1183 1, 2, 4, 6, 7, 9, 11 straipsnių ir 3, 7, 8 priedų pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-23,"Mokesčio už aplinkos teršimą įstatymo Nr. VIII-1183 6, 9 straipsnių ir 4 priedo pakeitimo įstatymo Nr. XIV-2173 2 straipsnio pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-23,Rinkliavų įstatymo Nr. VIII-1725 11 ir 13 straipsnių pakeitimo įstatymo projektas,Aplinkos apsaugos komitetas
2025-05-23,"Aplinkos apsaugos įstatymo Nr. I-2223 47, 84, 85, 94, 95, 99, 102, 105 ir 107 straipsnių pakeitimo ir Įstatymo papildymo 102-2 ir 102-3 straipsniais įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-23,"Administracinių nusižengimų kodekso   241, 248, 249, 250, 252, 255, 608 straipsnių ir priedo pakeitimo įstatymo  projektas",Aplinkos apsaugos komitetas
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Aplinkos apsaugos komitetas
2025-05-21,Įstatymo „Dėl Energetikos chartijos sutarties denonsavimo“ projektas,Aplinkos apsaugos komitetas
2025-05-21,"Radioaktyviųjų atliekų tvarkymo įstatymo Nr. VIII-1190  7, 14, 21 straipsnių pakeitimo ir Įstatymo papildymo 6-1 straipsniu įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-21,Branduolinės saugos įstatymo Nr. XI-1539 32 straipsnio pakeitimo įstatymo projektas,Aplinkos apsaugos komitetas
2025-05-21,Saugomų teritorijų įstatymo Nr. I-301 34 straipsnio pakeitimo įstatymo projektas,Aplinkos apsaugos komitetas
2025-05-21,Kiti klausimai,Aplinkos apsaugos komitetas
2025-05-21,Dėl ES teisės pažeidimo procedūros dėl Natura 2000 tinklo (uždaras klausimas) (,Aplinkos apsaugos komitetas
2025-05-16,Atliekų tvarkymo įstatymo Nr. VIII-787 pakeitimo įstatymo projektas,Aplinkos apsaugos komitetas
2025-05-16,"Atliekų tvarkymo įstatymo Nr. VIII-787 1, 2, 3, 3-1, 3-2, 4, 7, 11-1, 12-1, 18-2, 22, 30, 32, 33, 34, 34-1, 34-2, 34-3, 34-4, 34-7, 34-8, 34-15, 34-18, 34-23, 34-25, 34-26, 34-28, 34-31 straipsnių, šeštojo skirsnio, 5 priedo pakeitimo ir Įstatymo papildymo 32-1 straipsniu ir antruoju-2 skirsniu įstatymo Nr. XIV-407 14 ir 33 straipsnių pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-16,"Pakuočių ir pakuočių atliekų tvarkymo įstatymo Nr. IX-517 2, 6, 7, 7-1, 7-2, 10, 11-2 straipsnių pakeitimo ir Įstatymo papildymo 10-1 straipsniu įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-16,"Mokesčio už aplinkos teršimą įstatymo Nr. VIII-1183 1, 2, 4, 6, 7, 9, 11 straipsnių ir 3, 7, 8 priedų pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-16,"Mokesčio už aplinkos teršimą įstatymo Nr. VIII-1183 6, 9 straipsnių ir 4 priedo pakeitimo įstatymo Nr. XIV-2173 2 straipsnio pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-16,Rinkliavų įstatymo Nr. VIII-1725 11 ir 13 straipsnių pakeitimo įstatymo projektas,Aplinkos apsaugos komitetas
2025-05-16,"Aplinkos apsaugos įstatymo Nr. I-2223 47, 84, 85, 94, 95, 99, 102, 105 ir 107 straipsnių pakeitimo ir Įstatymo papildymo 102-2 ir 102-3 straipsniais įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-16,"Administracinių nusižengimų kodekso   241, 248, 249, 250, 252, 255, 608 straipsnių ir priedo pakeitimo įstatymo  projektas",Aplinkos apsaugos komitetas
2025-05-14,Posėdžio darbotvarkės tvirtinimas,Aplinkos apsaugos komitetas
2025-05-14,"Aplinkos apsaugos įstatymo Nr. I-2223 15, 19, 19-1, 19-2, 55, 56 straipsnių pakeitimo ir Įstatymo papildymo 15-1 straipsniu įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-14,"Planuojamos ūkinės veiklos poveikio aplinkai vertinimo įstatymo Nr. I-1495 2, 3, 8, 11 straipsnių ir Įstatymo 1, 2 priedų pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-14,"Specialiųjų žemės naudojimo sąlygų įstatymo Nr. XIII-2166 2, 6, 7, 8, 9, 11, 16, 20, 21, 22, 24, 25, 28, 31, 35, 36, 37, 40, 41, 42, 43, 46, 47, 48, 49, 53, 60, 65, 66, 67, 69, 73, 74, 75, 79, 80, 84, 86, 88, 92, 93, 94, 98, 99, 100, 104, 108, 110, 124, 134, 139, 141 straipsnių,  III skyriaus aštuntojo skirsnio, V skyriaus šeštojo skirsnio pavadinimų ir Įstatymo 2 priedo pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-14,Geležinkelių transporto kodekso 19 straipsnio pakeitimo įstatymo projektas,Aplinkos apsaugos komitetas
2025-05-14,"Specialiųjų žemės naudojimo sąlygų įstatymo Nr. XIII-2166 92, 96 straipsnių, VI skyriaus antrojo skirsnio pavadinimo pakeitimo ir 91, 93, 94 straipsnių pripažinimo netekusiais galios įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-14,"Žemės įstatymo Nr. I-446 2, 7, 8, 9, 10, 11, 15, 22, 23, 29, 32, 34, 35, 37, 40, 41, 43, 45, 47, 55, 56, 64, 66 straipsnių ir VI-1 skyriaus pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-14,"Teritorijų planavimo įstatymo Nr. I-1120 6, 17, 18, 20, 23, 25, 27, 28, 30, 31, 33, 35, 39, 45 straipsnių, septintojo skirsnio pavadinimo pakeitimo ir Įstatymo papildymo 42-1 straipsniu įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-14,"Žemės reformos įstatymo Nr. I-1607 8, 9, 10, 13 ir 19 straipsnių pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-14,"Statybos įstatymo Nr. I-1240 24, 27, 27-1, 27-2, 37 ir 49 straipsnių pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-14,Dėl gamintojo atsakomybės principo taikymo tvarkant automobilių padangas (parlamentinės kontrolės tęsinys),Aplinkos apsaugos komitetas
2025-05-14,Kiti klausimai,Aplinkos apsaugos komitetas
2025-05-07,Posėdžio darbotvarkės tvirtinimas,Aplinkos apsaugos komitetas
2025-05-07,Saugomų teritorijų įstatymo Nr. I-301 34 straipsnio pakeitimo įstatymo projektas,Aplinkos apsaugos komitetas
