date,question,committee,project,responsible,attendees
2025-06-11,Posėdžio darbotvarkės tvirtinimas,Ateities komitetas,,V.  GrubliauskasK.  Gulbinskienė,
2025-06-11,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas Kviečiami dalyvauti: ​ Lietuvos Respublikos Ministras Pirmininkas Gintautas Paluckas Lietuvos Respublikos Vyriausybės kancleris Laimonas Rudys Lietuvos Respublikos finansų ministras Rimantas Šadžius Lietuvos Respublikos Valstybės kontrolierė Irena Segalovičienė​,Ateities komitetas,XVP-453,Papildomas(svarstymas),
2025-06-11,Kiti klausimai,Ateities komitetas,,V.  GrubliauskasK.  Gulbinskienė,
2025-06-04,Posėdžio darbotvarkės tvirtinimas,Ateities komitetas,,V.  GrubliauskasK.  Gulbinskienė,
2025-06-04,Dėl Seimo Ateities komiteto sprendimo dėl Švietimo strateginės vizijos,Ateities komitetas,,L.  KazlavickasA.  Jakavičiutė-MiliauskienėG.  ViliūnasA.  Grigienė,
2025-06-04,"Regionų pažangos strateginės prielaidos: Lietuvos Respublikos teritorijos bendro plano atnaujinimas, sumanioji specializacija ir kt. Kviečiami dalyvauti: Lietuvos Respublikos vidaus reikalų viceministras Vaidotas Jakštas Lietuvos Respublikos aplinkos viceministras Kastytis Žuromskas Lietuvos Respublikos ekonomikos ir inovacijų ministro patarėjas Paulius Petrauskas Europos Komisijos ekonomikos ir politikos analitikas Dr. Ramojus Reimeris VšĮ Inovacijų agentūros vadovė Romualda Stragienė VšĮ „Investuok Lietuvoje“ generalinis direktorius Elijus Čivilis „Kurk Lietuvai“ projetų vadovas Rytis Stankevičius ​",Ateities komitetas,,I.  GelažnikienėE.  KirkutisA.  AugustinaitisM.  Paulauskė,
2025-06-04,Kiti klausimai,Ateities komitetas,,V.  GrubliauskasK.  Gulbinskienė,
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Ateities komitetas,,V.  GrubliauskasK.  Gulbinskienė,
2025-05-21,Dėl Seimo Ateities komiteto sprendimo dėl regioninės raidos planavimo ir vystymo projekto,Ateities komitetas,,I.  GelažnikienėE.  KirkutisA.  AugustinaitisM.  Paulauskė,
2025-05-21,Kiti klausimai,Ateities komitetas,,V.  GrubliauskasK.  Gulbinskienė,
