date,question,committee,project,responsible,attendees
2025-06-04,Posėdžio darbotvarkės tvirtinimas,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,
2025-06-04,2025 m. gegužės 15 d. valstybinio audito ataskaita Nr. FAE-2 „2024 metų valstybės ataskaitų rinkinio finansinio audito rezultatai“,Audito komitetas,FAE-2,R.  JanušonienėJ.  RazmaD.  Andriūnaitė,
2025-06-04,2025 m. gegužės 15 d. valstybinio audito ataskaita Nr. FAE-2 „2024 metų valstybės ataskaitų rinkinio finansinio audito rezultatai“,Audito komitetas,FAE-2,R.  JanušonienėJ.  RazmaD.  Andriūnaitė,
2025-06-04,"Vyriausybės kanceliarijos, Finansų, Aplinkos, Kultūros, Teisingumo",Audito komitetas,FAE-2,R.  JanušonienėJ.  RazmaD.  Andriūnaitė,
2025-06-04,"ministerijų, Valstybės kontrolės atstovai",Audito komitetas,FAE-2,R.  JanušonienėJ.  RazmaD.  Andriūnaitė,
2025-06-04,(svarstymas),Audito komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,,
2025-06-04,Konkurencijos tarybos 2024 m. veiklos ataskaitos ir kitos aktualios informacijos pristatymas,Audito komitetas,,A.  SkardžiusA.  ZuokasE.  Šukytė,
2025-06-04,Konkurencijos tarybos 2024 m. veiklos ataskaitos ir kitos aktualios informacijos pristatymas,Audito komitetas,,A.  SkardžiusA.  ZuokasE.  Šukytė,
2025-06-04,"Konkurencijos tarybos, Ekonomikos ir inovacijų",Audito komitetas,,A.  SkardžiusA.  ZuokasE.  Šukytė,
2025-06-04,"ministerijos, Vidaus reikalų ministerijos atstovai",Audito komitetas,,A.  SkardžiusA.  ZuokasE.  Šukytė,
2025-06-04,"ministerijos, Vidaus reikalų ministerijos atstovai",Audito komitetas,,A.  SkardžiusA.  ZuokasE.  Šukytė,
2025-06-04,"2025 m. balandžio 25 d. valstybinio audito išvada ir ataskaita Nr. FAE-1 „2014–2020 m. Europos Sąjungos fondų investicijų veiksmų programos įgyvendinimui sukurtos valdymo ir kontrolės sistemos veikimo, sąskaitose pateiktos informacijos ir 2023 m. liepos 1 d. -2024 m. birželio 30 d. laikotarpiu deklaruotų išlaidų, kurias Europos komisijos prašoma atlyginti, vertinimas (kontrolės ataskaita pagal Europos Parlamento ir Tarybos reglamento (ES) Nr. 1303/2013 127 straipsnį)""",Audito komitetas,FAE-1; 1303/2013,A.  SkardžiusA.  ZuokasA.  Buragienė,
2025-06-04,"2025 m. balandžio 25 d. valstybinio audito išvada ir ataskaita Nr. FAE-1 „2014–2020 m. Europos Sąjungos fondų investicijų veiksmų programos įgyvendinimui sukurtos valdymo ir kontrolės sistemos veikimo, sąskaitose pateiktos informacijos ir 2023 m. liepos 1 d. -2024 m. birželio 30 d. laikotarpiu deklaruotų išlaidų, kurias Europos komisijos prašoma atlyginti, vertinimas (kontrolės ataskaita pagal Europos Parlamento ir Tarybos reglamento (ES) Nr. 1303/2013 127 straipsnį)""",Audito komitetas,FAE-1; 1303/2013,A.  SkardžiusA.  ZuokasA.  Buragienė,
2025-06-04,"Finansų ministerijos, Inovacijų agentūros, Ekonomikos ir inovacijų",Audito komitetas,FAE-1; 1303/2013,A.  SkardžiusA.  ZuokasA.  Buragienė,
2025-06-04,"ministerijos, Finansinių nusikaltimų tyrimo tarnybos prie VRM, Specialiųjų",Audito komitetas,FAE-1; 1303/2013,A.  SkardžiusA.  ZuokasA.  Buragienė,
2025-06-04,"tyrimų tarnybos, Valstybės kontrolės atstovai",Audito komitetas,FAE-1; 1303/2013,A.  SkardžiusA.  ZuokasA.  Buragienė,
2025-06-04,"tyrimų tarnybos, Valstybės kontrolės atstovai",Audito komitetas,FAE-1; 1303/2013,A.  SkardžiusA.  ZuokasA.  Buragienė,
2025-06-04,Kiti klausimai:,Audito komitetas,VRE-3,A.  SkardžiusL.  Pranaitytė,
2025-06-04,1. Dėl 2025 m. gegužės 20 d. Valstybės kontrolės apžvalgos Nr. VRE-3 „Viešojo sektoriaus darbuotojų darbo užmokesčio apžvalga“ svarstymo ir kuratorių paskyrimo;,Audito komitetas,VRE-3,A.  SkardžiusL.  Pranaitytė,
2025-06-04,2. Dėl išvadų rengėjų paskyrimo;,Audito komitetas,VRE-3,A.  SkardžiusL.  Pranaitytė,
2025-06-04,3. Dėl kito komiteto posėdžio,Audito komitetas,VRE-3,A.  SkardžiusL.  Pranaitytė,
2025-05-28,Posėdžio darbotvarkės tvirtinimas,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,
2025-05-28,Seimo nutarimo „Dėl pavedimo Lietuvos Respublikos valstybės kontrolei atlikti valstybinį auditą“ projektas,Audito komitetas,XVP-333,R.  VyžintasA.  ZuokasD.  Andriūnaitė,
2025-05-28,Seimo nutarimo „Dėl pavedimo Lietuvos Respublikos valstybės kontrolei atlikti valstybinį auditą“ projektas,Audito komitetas,XVP-333,R.  VyžintasA.  ZuokasD.  Andriūnaitė,
2025-05-28,"Seimo Energetikos ir darnios plėtros komisijos, Valstybės kontrolės",Audito komitetas,XVP-333,R.  VyžintasA.  ZuokasD.  Andriūnaitė,
2025-05-28,atstovai,Audito komitetas,XVP-333,R.  VyžintasA.  ZuokasD.  Andriūnaitė,
2025-05-28,atstovai,Audito komitetas,XVP-333,R.  VyžintasA.  ZuokasD.  Andriūnaitė,
2025-05-28,Nevyriausybinių organizacijų plėtros įstatymo Nr. XII-717 10 straipsnio pakeitimo įstatymo projektas,Audito komitetas,XII-717,V.  AleknaR.  JanušonienėD.  Andriūnaitė,
2025-05-28,Nevyriausybinių organizacijų plėtros įstatymo Nr. XII-717 10 straipsnio pakeitimo įstatymo projektas,Audito komitetas,XII-717,V.  AleknaR.  JanušonienėD.  Andriūnaitė,
2025-05-28,"Seimo narys A. Bagdonas, Socialinės apsaugos ir darbo ministerijos,",Audito komitetas,XII-717,V.  AleknaR.  JanušonienėD.  Andriūnaitė,
2025-05-28,Finansų ministerijos atstovai,Audito komitetas,XII-717,V.  AleknaR.  JanušonienėD.  Andriūnaitė,
2025-05-28,Finansų ministerijos atstovai,Audito komitetas,XII-717,V.  AleknaR.  JanušonienėD.  Andriūnaitė,
2025-05-28,Labdaros ir paramos įstatymo Nr. I-172 7 straipsnio 1-1 dalies pakeitimo įstatymo projektas,Audito komitetas,I-172,R.  JanušonienėV.  AleknaA.  BuragienėD.  Keršienė,
2025-05-28,Labdaros ir paramos įstatymo Nr. I-172 7 straipsnio 1-1 dalies pakeitimo įstatymo projektas,Audito komitetas,I-172,R.  JanušonienėV.  AleknaA.  BuragienėD.  Keršienė,
2025-05-28,"Seimo nariai A, Radvilavičius, V. Turauskaitė, A. Anušauskas, Finansų",Audito komitetas,I-172,R.  JanušonienėV.  AleknaA.  BuragienėD.  Keršienė,
2025-05-28,ministerijos atstovai,Audito komitetas,I-172,R.  JanušonienėV.  AleknaA.  BuragienėD.  Keršienė,
2025-05-28,ministerijos atstovai,Audito komitetas,I-172,R.  JanušonienėV.  AleknaA.  BuragienėD.  Keršienė,
2025-05-28,"2025 m. balandžio 4 d. ataskaita Nr. VAE-2 „Finansinių priemonių (paskolų, garantijų, rizikos kapitalo investicijų) taikymas teikiant valstybės paramą“",Audito komitetas,VAE-2,R.  JanušonienėJ.  RazmaA.  BuragienėD.  Andriūnaitė,
