date,question,committee,project,responsible,attendees
2025-06-09,Posėdžio darbotvarkės tvirtinimas,Biudžeto ir finansų komitetas,,A.  SysasD.  Mudėnienė,
2025-06-09,Saugumo įnašo įstatymo projektas,Biudžeto ir finansų komitetas,XVP-433,A.  SysasM.  LingėA.  Narščiuvienė,
2025-06-09,Mokesčių administravimo įstatymo Nr. IX-2112 13 straipsnio pakeitimo įstatymo projektas,Biudžeto ir finansų komitetas,IX-2112,A.  SysasM.  LingėA.  Narščiuvienė,
2025-06-09,"Pelno mokesčio įstatymo Nr. IX-675 5, 17, 18, 30, 33, 34, 35, 38-2 , 41, 43 ir 56-1 straipsnių pakeitimo ir Įstatymo papildymo 30-3 straipsniu įstatymo projektas",Biudžeto ir finansų komitetas,IX-675,A.  SysasG.  SkaistėA.  Narščiuvienė,
2025-06-09,"Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 6, 13-1, 16, 17, 18, 18-2, 19, 20, 21, 23, 27, 34 ir 35 straipsnių pakeitimo įstatymo projektas",Biudžeto ir finansų komitetas,IX-1007,A.  SysasM.  LingėE.  Putrimas,
2025-06-09,Nekilnojamojo turto mokesčio įstatymo Nr. X-233 pakeitimo įstatymo projektas (nauja redakcija),Biudžeto ir finansų komitetas,X-233,A.  SysasM.  LingėE.  Putrimas,
2025-06-09,"Nekilnojamojo turto mokesčio įstatymo Nr. X-233 2, 6, 7, 8, 9, 10 ir 11 straipsnių pakeitimo įstatymo Nr. XIV-2577 pakeitimo įstatymo projektas",Biudžeto ir finansų komitetas,X-233; XIV-2577,A.  SysasM.  LingėE.  Putrimas,
2025-06-09,"Akcizų įstatymo Nr. IX-569 1, 2, 3 straipsnių pakeitimo ir II skyriaus papildymo devintuoju skirsniu įstatymo projektas",Biudžeto ir finansų komitetas,IX-569,A.  SysasG.  SkaistėA.  Narščiuvienė,
2025-06-09,Pridėtinės vertės mokesčio įstatymo Nr. IX-751 19 straipsnio pakeitimo įstatymo projektas,Biudžeto ir finansų komitetas,IX-751,A.  SysasG.  SkaistėA.  Narščiuvienė,
2025-06-09,Valstybės gynybos fondo įstatymo Nr. XIV-2775 2 ir 4 straipsnių pakeitimo įstatymo projektas,Biudžeto ir finansų komitetas,XIV-2775,A.  SysasM.  LingėA.  Narščiuvienė,
2025-06-09,Kiti klausimai,Biudžeto ir finansų komitetas,,A.  SysasD.  Mudėnienė,
2025-06-09,"Geležinkelių transporto kodekso patvirtinimo, įsigaliojimo ir taikymo įstatymo Nr. IX-2152 4 straipsnio pakeitimo įstatymo projektas",Biudžeto ir finansų komitetas,IX-2152,Š.  ŠukevičiusV.  ĄžuolasD.  Mudėnienė,
2025-06-09,"Geležinkelių transporto kodekso 1, 3, 7-1, 9, 10-1, 15, 19, 22, 23, 23-1, 24, 24-1, 25, 25-2, 29-8, 30-1, 30-2, 30-3, 30-4, 33, 34 straipsnių, ketvirtojo skirsnio pavadinimo, priedo pakeitimo, Kodekso papildymo 25-4, 30-5 straipsniais, aštuntuoju skirsniu ir penktojo skirsnio pripažinimo netekusiu galios įstatymo projektas",Biudžeto ir finansų komitetas,XVP-397,Š.  ŠukevičiusV.  ĄžuolasD.  Mudėnienė,
2025-06-09,Papildomas (pasirengimas svarstymui),Biudžeto ir finansų komitetas,"Administracinių nusižengimų kodekso 383, 589 straipsnių ir priedo pakeitimo, 384 straipsnio pripažinimo netekusiu galios įstatymo projektas",,
2025-06-04,Posėdžio darbotvarkės tvirtinimas,Biudžeto ir finansų komitetas,,A.  SysasD.  Mudėnienė,
2025-06-04,Lietuvos banko įstatymo Nr. I-678 42 straipsnio ir 3 priedo pakeitimo įstatymo projektas,Biudžeto ir finansų komitetas,I-678,A.  ButkevičiusR.  KuodisM.  Pečiulis,
2025-06-04,"Alternatyviųjų kolektyvinio investavimo subjektų valdytojų įstatymo Nr. XII-1467 3, 4, 13, 22, 23, 28, 56, 61 straipsnių ir priedo pakeitimo įstatymo projektas",Biudžeto ir finansų komitetas,XII-1467,A.  ButkevičiusR.  KuodisM.  Pečiulis,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Bankų įstatymo Nr. IX-2085 2, 60, 63, 69, 73 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Centrinių kredito unijų įstatymo Nr. VIII-1682 2, 19, 21, 41, 44, 51, 55 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Draudimo įstatymo Nr. IX-1737 10, 22, 205, 212 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Finansinių priemonių rinkų įstatymo Nr. X-1024 3, 15-4, 16, 18, 21, 49, 62, 70, 93, 112 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Finansinio tvarumo įstatymo Nr. XI-393 2, 13, 99 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Informuotiesiems investuotojams skirtų kolektyvinio investavimo subjektų įstatymo Nr. XII-376 2, 13 ir 51 straipsnių pakeitimo įstatymo projektas",,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Kolektyvinio investavimo subjektų įstatymo Nr. IX-1709 2, 11, 16, 35, 171 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Mokėjimų įstatymo Nr. VIII-1370 2, 3, 56, 57, 76, 80 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Mokėjimo įstaigų įstatymo Nr. XI-549 2, 5, 6, 19, 22, 34 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Profesinių pensijų kaupimo įstatymo Nr. X-745 2, 7, 15, 63 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Elektroninių pinigų ir elektroninių pinigų įstaigų įstatymo Nr. XI-1868 2, 13, 26, 28, 40 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Papildomo savanoriško pensijų kaupimo įstatymo Nr. VIII-1212 2, 6, 57, 58-2 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Kredito unijų įstatymo Nr. I-796 2, 3, 61 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-04,Pagrindinis (svarstymas),Biudžeto ir finansų komitetas,"Kriptoturto rinkų įstatymo Nr. XIV-2879 3, 10, 12, 13, 14, 15 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-04,Valstybės gynybos fondo įstatymo Nr. XIV-2775 4 straipsnio pakeitimo įstatymo projektas,Biudžeto ir finansų komitetas,XIV-2775,R.  BudbergytėG.  SkaistėA.  Čekanavičienė,
2025-06-04,Seimo nutarimo „Dėl Šiaurės investicijų banko Kontrolės komiteto nario paskyrimo“ projektas XVP-484,Biudžeto ir finansų komitetas,,A.  SysasG.  SkaistėA.  Narščiuvienė,
2025-06-04,Valstybės gynybos fondo įstatymo Nr. XIV-2775 2 ir 4 straipsnių pakeitimo įstatymo projektas,Biudžeto ir finansų komitetas,XIV-2775,A.  SysasM.  LingėA.  Narščiuvienė,
2025-06-04,Nekilnojamojo turto mokesčio įstatymo Nr. X-233 pakeitimo įstatymo projektas (nauja redakcija),Biudžeto ir finansų komitetas,X-233,A.  SysasM.  LingėE.  Putrimas,
2025-06-04,Kiti klausimai,Biudžeto ir finansų komitetas,,A.  SysasD.  Mudėnienė,
2025-05-30,Posėdžio darbotvarkės tvirtinimas,Biudžeto ir finansų komitetas,,A.  SysasD.  Mudėnienė,
2025-05-30,Mokesčių administravimo įstatymo Nr. IX-2112 13 straipsnio pakeitimo įstatymo projektas,Biudžeto ir finansų komitetas,IX-2112,A.  SysasM.  LingėA.  Narščiuvienė,
2025-05-30,Saugumo įnašo įstatymo projektas,Biudžeto ir finansų komitetas,XVP-433,A.  SysasM.  LingėA.  Narščiuvienė,
2025-05-30,"Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 6, 13-1, 16, 17, 18, 18-2, 19, 20, 21, 23, 27, 34 ir 35 straipsnių pakeitimo įstatymo projektas",Biudžeto ir finansų komitetas,IX-1007,A.  SysasR.  KuodisE.  Putrimas,
2025-05-30,"Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 18(2), 20 ir 36 straipsnių pakeitimo įstatymo projekto pristatymas",Biudžeto ir finansų komitetas,IX-1007,D.  BradauskasM.  LingėD.  Mudėnienė,
2025-05-30,Kiti klausimai,Biudžeto ir finansų komitetas,,A.  SysasD.  Mudėnienė,
2025-05-29,Posėdžio darbotvarkės tvirtinimas,Biudžeto ir finansų komitetas,,A.  SysasD.  Mudėnienė,
2025-05-29,"Mokesčių administravimo įstatymo Nr. IX-2112 2, 32, 37-1 , 38, 39, 40-1 , 48, 61-2 , 71, 88, 100, 108, 140, 141, 148, 155 straipsnių ir priedo pakeitimo ir Įstatymo papildymo 37-2, 61-5 ir 61-6 straipsniais įstatymo projektas",Biudžeto ir finansų komitetas,IX-2112,D.  BradauskasV.  ĄžuolasE.  Putrimas,
2025-05-29,"Administracinių nusižengimų kodekso 207, 589, 673 straipsnių ir priedo pakeitimo ir Kodekso papildymo 188-6 ir 188-7 straipsniais įstatymo projektas",Biudžeto ir finansų komitetas,XVP-367,D.  BradauskasV.  ĄžuolasE.  Putrimas,
2025-05-29,"Akcizų įstatymo Nr. IX-569 1, 2, 3 straipsnių pakeitimo ir II skyriaus papildymo devintuoju skirsniu įstatymo projektas",Biudžeto ir finansų komitetas,IX-569,A.  SysasG.  SkaistėA.  Narščiuvienė,
2025-05-29,Pridėtinės vertės mokesčio įstatymo Nr. IX-751 19 straipsnio pakeitimo įstatymo projektas,Biudžeto ir finansų komitetas,IX-751,A.  SysasG.  SkaistėA.  Narščiuvienė,
2025-05-29,"KLAUSYMAI dėl Pelno mokesčio įstatymo Nr. IX-675 5, 17, 18, 30, 33, 34, 35, 38-2 , 41, 43 ir 56-1 straipsnių pakeitimo ir Įstatymo papildymo 30-3 straipsniu įstatymo projekto Nr. XVP-435",Biudžeto ir finansų komitetas,IX-675; XVP-435,A.  SysasG.  SkaistėA.  Narščiuvienė,
2025-05-29,KLAUSYMAI dėl Nekilnojamojo turto mokesčio įstatymo Nr. X-233 pakeitimo įstatymo projekto (nauja redakcija) Nr.XVP-437(2),Biudžeto ir finansų komitetas,X-233; XVP-437,A.  SysasM.  LingėE.  Putrimas,
2025-05-29,Kiti klausimai,Biudžeto ir finansų komitetas,,A.  SysasD.  Mudėnienė,
2025-05-27,Posėdžio darbotvarkės tvirtinimas,Biudžeto ir finansų komitetas,,A.  SysasD.  Mudėnienė,
2025-05-27,Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 21 straipsnio pakeitimo įstatymo projektas,Biudžeto ir finansų komitetas,IX-1007,A.  ButkevičiusM.  LingėA.  Čekanavičienė,
2025-05-27,Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 17 straipsnio 1 dalies pakeitimo įstatymo projektas,Biudžeto ir finansų komitetas,IX-1007,A.  ButkevičiusM.  LingėA.  Čekanavičienė,
2025-05-27,Papildomas (svarstymas),Biudžeto ir finansų komitetas,Gyventojų pajamų mokesčio įstatymo Nr. IX-1691 17 straipsnio pakeitimo įstatymo projektas,,
2025-05-27,KLAUSYMAI dėl Saugumo įnašo įstatymo projekto XVP-433 ir Mokesčių administravimo įstatymo Nr. IX-2112 13 straipsnio pakeitimo įstatymo projekto XVP-434 Kviečiami dalyvauti: ​ Finansų ministerijos atstovai ir siūlymus pateikę suinteresuoti asmenys ​,Biudžeto ir finansų komitetas,IX-2112,A.  SysasM.  LingėA.  Narščiuvienė,
