date,question,committee
2025-05-21,Kiti klausimai,Europos reikalų komitetas
2025-05-21,2021-2027 m. ES fondų investicijų programos įgyvendinimas,Europos reikalų komitetas
2025-05-21,Kviečiami dalyvauti:,Europos reikalų komitetas
2025-05-21,Finansų ministras Rimantas Šadžius,Europos reikalų komitetas
2025-05-21,Lietuvos Respublikos pozicijų pristatymas prieš vykstant į Europos Sąjungos Žemės ūkio ir žuvininkystės tarybos 2025 m. gegužės 26 d. posėdį  (,Europos reikalų komitetas
2025-05-21,Kviečiami dalyvauti:,Europos reikalų komitetas
2025-05-21,Žemės ūkio ministras Ignas Hofmanas,Europos reikalų komitetas
2025-05-21,"Lietuvos Respublikos pozicijų pristatymas prieš vykstant į Europos Sąjungos Konkurencingumo tarybos 2025 m. gegužės 22–23 d. posėdį (vidaus rinkos, pramonės, mokslinių tyrimų ir kosmoso klausimai) (",Europos reikalų komitetas
2025-05-21,Kviečiami dalyvauti:,Europos reikalų komitetas
2025-05-21,Ekonomikos ir inovacijų ministras Lukas Savickas,Europos reikalų komitetas
2025-05-21,"Švietimo, mokslo ir sporto ministrė Raminta Popovienė ​",Europos reikalų komitetas
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Europos reikalų komitetas
2025-05-21,Lietuvos Respublikos pozicijų pristatymas prieš vykstant į  Europos Sąjungos Bendrųjų reikalų tarybos 2025 m. gegužės 27 d. posėdį (,Europos reikalų komitetas
2025-05-21,Kviečiami dalyvauti:,Europos reikalų komitetas
2025-05-21,Užsienio reikalų ministras Kęstutis Budrys,Europos reikalų komitetas
2025-05-21,Būsima vidaus rinkos strategija ir ES konkurencingumo didinimas  (,Europos reikalų komitetas
2025-05-21,Kviečiami dalyvauti:,Europos reikalų komitetas
2025-05-21,Finansų viceministras Kristupas Vaitiekunas,Europos reikalų komitetas
2025-05-21,Ekonomikos ir inovacijų viceministrė Agila Barzdienė​,Europos reikalų komitetas
2025-05-21,Kiti klausimai,Europos reikalų komitetas
2025-05-14,Kiti klausimai,Europos reikalų komitetas
2025-05-14,Posėdžio darbotvarkės tvirtinimas,Europos reikalų komitetas
2025-05-14,"Ministro ataskaita apie Europos Sąjungos Ekonomikos ir finansų reikalų tarybos Euro grupės posėdį, vykusį 2025 m. gegužės 13 d.  (",Europos reikalų komitetas
2025-05-14,Kviečiami dalyvauti:,Europos reikalų komitetas
2025-05-14,Finansų ministras Rimantas Šadžius,Europos reikalų komitetas
2025-05-14,"Ministro ataskaita apie į Europos Sąjungos Švietimo, jaunimo, kultūros ir sporto tarybos  posėdį, vykusį 2025 m. gegužės 12–13 d.  (",Europos reikalų komitetas
2025-05-14,Kviečiami dalyvauti:,Europos reikalų komitetas
2025-05-14,Kultūros ministras Šarūnas Birutis,Europos reikalų komitetas
2025-05-14,"Švietimo, mokslo ir sporto ministrė Raminta Popovienė",Europos reikalų komitetas
2025-05-14,Socialinės apsaugos ir darbo ministrė Inga Ruginienė​,Europos reikalų komitetas
2025-05-14,Dėl Lietuvos kovos su dezinformacija ir manipuliacijomis plano (,Europos reikalų komitetas
2025-05-14,Kviečiami dalyvauti:,Europos reikalų komitetas
2025-05-14,Kultūros ministerijos viceministras Dr. Viktor Denisenko,Europos reikalų komitetas
2025-05-14,Užsienio reikalų ministerijos viceministras Sigitas Mitkus,Europos reikalų komitetas
2025-05-14,Krašto apsaugos ministerijos viceministras Karolis Aleksa,Europos reikalų komitetas
2025-05-14,"Švietimo, mokslo ir sporto ministerijos viceministras Jonas Petkevičius",Europos reikalų komitetas
2025-05-14,Nacionalinis krizių valdymo centras,Europos reikalų komitetas
2025-05-14,Lietuvos Respublikos valstybės saugumo departamentas,Europos reikalų komitetas
2025-05-14,Lietuvos radijo ir televizijos komisija,Europos reikalų komitetas
2025-05-14,Žurnalistų etikos inspektoriaus tarnyba,Europos reikalų komitetas
2025-05-14,Ryšių reguliavimo tarnyba​,Europos reikalų komitetas
2025-05-14,2020 m. Seimo Europos reikalų ir Užsienio reikalų komitetų darbo grupės nuomonės „Dėl pasiūlymų dėl Europos Sąjungos ateities vertinimo ir Lietuvos Respublikos interesų“ apžvalga  (,Europos reikalų komitetas
2025-05-14,ES ir vidaus saugumo ir gynybos politikos stiprinimas  (,Europos reikalų komitetas
2025-05-14,Kviečiami dalyvauti:,Europos reikalų komitetas
