date,question,committee,project,responsible,attendees
2025-06-18,Posėdžio darbotvarkės tvirtinimas,Kultūros komitetas,,K.  VilkauskasR.  Varanauskienė,
2025-06-18,Dainų švenčių tradicijos įstatymo Nr. X-1334 4 ir 16 straipsnių pakeitimo įstatymo projektas,Kultūros komitetas,X-1334,R.  BaškienėV.  JuozapaitisM.  Gureckienė,
2025-06-18,Visuomenės informavimo įstatymo Nr. I-1418 50 straipsnio pakeitimo įstatymo projektas,Kultūros komitetas,I-1418,K.  VilkauskasV.  KernagisM.  Gureckienė,
2025-06-18,"XVP-586	Seimo nutarimo „Dėl Lietuvos Respublikos pirmininkavimo Europos Sąjungos Tarybai 2027 metais"" projektas",Kultūros komitetas,,K.  VilkauskasV.  JuozapaitisR.  VaranauskienėA.  Pocienė,
2025-06-18,Kiti klausimai,Kultūros komitetas,,K.  VilkauskasR.  Varanauskienė,
2025-06-18,Posėdžio darbotvarkės tvirtinimas (uždaras klausimais),Kultūros komitetas,,K.  VilkauskasG.  JeglinskasR.  VaranauskienėV.  Kaminskienė,
2025-06-18,Dėl Lietuvos kultūros vertybių išsaugojimo (uždaras klausimas),Kultūros komitetas,,K.  VilkauskasG.  JeglinskasA.  JonaitienėG.  Kazėnas,
2025-06-11,Posėdžio darbotvarkės tvirtinimas,Kultūros komitetas,,K.  VilkauskasK.  BiliusR.  VaranauskienėK.  Šimkutė,
2025-06-11,"Tyrimo ""Savivaldybių veiklos kultūros paveldo apsaugos srityje 2023 metais"" pristatymas",Kultūros komitetas,,K.  VilkauskasV.  JuozapaitisK.  BiliusR.  JuškaM.  GureckienėD.  Pukytė,
2025-06-11,Kultūros politika regionuose kaip atskirties mažinimas,Kultūros komitetas,,K.  VilkauskasV.  JuozapaitisK.  BiliusR.  JuškaA.  JonaitienėD.  Pukytė,
2025-06-11,Kiti klausimai,Kultūros komitetas,,K.  VilkauskasK.  BiliusR.  VaranauskienėK.  Šimkutė,
2025-06-11,Posėdžio darbotvarkės tvirtinimas,Kultūros komitetas,,K.  VilkauskasK.  BiliusR.  VaranauskienėK.  Šimkutė,
2025-06-11,"Tyrimo ""Savivaldybių veiklos kultūros paveldo apsaugos srityje 2023 metais"" pristatymas",Kultūros komitetas,,K.  VilkauskasV.  JuozapaitisK.  BiliusR.  JuškaM.  GureckienėD.  Pukytė,
2025-06-11,"Kultūros politika regionuose, kaip atskirties mažinimas",Kultūros komitetas,,K.  VilkauskasV.  JuozapaitisK.  BiliusR.  JuškaA.  JonaitienėD.  Pukytė,
2025-06-11,Kiti klausimai,Kultūros komitetas,,K.  VilkauskasK.  BiliusR.  VaranauskienėK.  Šimkutė,
2025-06-04,Posėdžio darbotvarkės tvirtinimas,Kultūros komitetas,,K.  VilkauskasR.  Varanauskienė,
2025-06-04,Dainų švenčių tradicijos įstatymo Nr. X-1334 4 straipsnio pakeitimo įstatymo projektas,Kultūros komitetas,X-1334,R.  BaškienėV.  JuozapaitisM.  Gureckienė,
2025-06-04,Seimo nutarimo „Dėl Dainiaus Radzevičiaus skyrimo žurnalistų etikos inspektoriumi“ projektas,Kultūros komitetas,XVP-364,K.  VilkauskasV.  JuozapaitisA.  Pocienė,
2025-06-04,Valstybės kontrolės vertinimo ataskaita „UNESCO pasaulio paveldo objektų valdymas ir saugojimas“,Kultūros komitetas,,K.  VilkauskasV.  JuozapaitisM.  Gureckienė,
2025-06-04,Visuomenės informavimo įstatymo Nr. I-1418 50 straipsnio pakeitimo įstatymo projektas,Kultūros komitetas,I-1418,K.  VilkauskasV.  KernagisA.  Pocienė,
2025-06-04,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,Kultūros komitetas,XVP-453,K.  VilkauskasV.  JuozapaitisA.  Jonaitienė,
2025-06-04,Kiti klausimai,Kultūros komitetas,,K.  VilkauskasR.  Varanauskienė,
2025-05-23,Išvykimas į Druskininkus,Kultūros komitetas,,K.  VilkauskasR.  VaranauskienėA.  Jonaitienė,
2025-05-23,Susitikimas su Druskininkų savivaldybės atstovais,Kultūros komitetas,,K.  VilkauskasA.  Jonaitienė,
2025-05-23,Druskininkų kultūros ir kongresų rūmų statybų  ir kitų kultūros objektų apžiūra,Kultūros komitetas,,K.  VilkauskasA.  Jonaitienė,
2025-05-23,Grįžimas į Vilnių,Kultūros komitetas,,K.  VilkauskasR.  VaranauskienėA.  Jonaitienė,
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Kultūros komitetas,,K.  VilkauskasR.  Varanauskienė,
2025-05-21,Nekilnojamojo kultūros paveldo apsaugos įstatymo Nr. I-733 pakeitimo įstatymo projektas (nauja redakcija),Kultūros komitetas,I-733,K.  VilkauskasV.  JuozapaitisM.  Gureckienė,
2025-05-21,"Statybos įstatymo Nr. I-1240 24, 27 straipsnių pakeitimo įstatymo projektas",Kultūros komitetas,I-1240,K.  VilkauskasV.  JuozapaitisM.  Gureckienė,
2025-05-21,"Kilnojamųjų kultūros vertybių apsaugos įstatymo Nr. I-1179 2, 4, 8, 9, 11, 12, 13 straipsnių pakeitimo įstatymo projektas",Kultūros komitetas,I-1179,K.  VilkauskasV.  JuozapaitisM.  Gureckienė,
2025-05-21,"Administracinių nusižengimų kodekso 314, 356, 589 straipsnių pakeitimo įstatymo projektas",Kultūros komitetas,XIVP-4210,K.  VilkauskasV.  JuozapaitisM.  Gureckienė,
2025-05-21,Dėl Dubingių pilies atkūrimo iniciatyvos,Kultūros komitetas,,K.  VilkauskasV.  JuozapaitisA.  PocienėM.  Gureckienė,
2025-05-21,Kiti klausimai,Kultūros komitetas,,R.  VaranauskienėK.  Vilkauskas,
2025-05-14,Posėdžio darbotvarkės tvirtinimas,Kultūros komitetas,,K.  VilkauskasR.  Varanauskienė,
2025-05-14,Dėl naujos Medijų rėmimo fondo programos formavimo ir žiniasklaidos priemonių įtraukimo. Parlamentinė kontrolė,Kultūros komitetas,,K.  VilkauskasV.  JuozapaitisA.  Pocienė,
