date,question,committee,project,responsible,attendees
2025-07-04,Posėdžio darbotvarkės tvirtinimas,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-07-04,Dėl AOTD direktoriaus perkėlimo į laikinąjį profesinės karo tarnybos personalo rezervą,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-07-04,Kiti klausimai,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-06-27,"Dėl gautų naujų pasiūlymų dėl Laisvės gynėjo teisinio statuso įstatymo Nr. XIV-389 2, 7, 9 straipsnių pakeitimo ir Įstatymo papildymo 7(1) straipsniu įstatymo projekto Nr. XVP-96(2)",Nacionalinio saugumo ir gynybos komitetas,XIV-389; XVP-96,G.  JeglinskasA.  PociusG.  Kazėnas,
2025-06-27,Dėl AOTD direktoriaus perkėlimo į laikinąjį profesinės karo tarnybos personalo rezervą,Nacionalinio saugumo ir gynybos komitetas,,L.  KasčiūnasI.  ŠimonytėV.  Čmilytė-NielsenA.  PociusD.  GaižauskasV.  SinicaE.  Sinkevičius,
2025-06-25,Posėdžio darbotvarkės tvirtinimas,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-06-25,"Seimo nutarimo „Dėl Lietuvos Respublikos pirmininkavimo Europos Sąjungos Tarybai 2027 metais"" projektas",Nacionalinio saugumo ir gynybos komitetas,XVP-586,G.  JeglinskasV.  Greckaitė,
2025-06-25,"2025 m. birželio 6 d. išankstinio tyrimo ataskaita Nr. ITE-1 ,,Gyventojų perspėjimo sistemos modernizavimas, kolektyvinės apsaugos statinių ir priedangų plėtra“",Nacionalinio saugumo ir gynybos komitetas,ITE-1,G.  Kazėnas,
2025-06-25,"Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo nustatoma bendra Sąjungoje neteisėtai esančių trečiųjų valstybių piliečių grąžinimo sistema ir panaikinami Europos Parlamento ir Tarybos direktyva 2008/115/EB, Tarybos direktyva 2001/40/EB ir Tarybos sprendimas 2004/191/EB",Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasV.  Greckaitė,
2025-06-25,Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo dėl saugių kilmės šalių Sąjungos lygmens sąrašo sudarymo iš dalies keičiamas Reglamentas (ES) 2024/1348,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasV.  Greckaitė,
2025-06-25,Kiti klausimai,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-06-18,Posėdžio darbotvarkės tvirtinimas,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasR.  MotuzasV.  KaminskienėI.  Milašiūtė,
2025-06-18,Dėl pasirengimo NATO valstybių ar vyriausybių vadovų susitikimui Hagoje 2025 m. birželio 24-26 d.,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasR.  MotuzasV.  KaminskienėI.  Milašiūtė,
2025-06-18,Kiti klausimai,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasR.  MotuzasV.  KaminskienėI.  Milašiūtė,
2025-06-18,Posėdžio darbotvarkės tvirtinimas,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasV.  Kaminskienė,
2025-06-18,"Teisės departamento pastabos dėl Lietuvos kariuomenės Rūdninkų karinio poligono įstatymo Nr. XIV-1015 1 straipsnio, 3 straipsnio, 7 straipsnio, III skirsnio pavadinimo pakeitimo, Įstatymo papildymo 8-1 straipsniu ir 10 straipsnio pakeitimo įstatymo projekto Nr. XVP-355(2)",Nacionalinio saugumo ir gynybos komitetas,XIV-1015; XVP-355,G.  JeglinskasA.  PociusG.  Kazėnas,
2025-06-13,Posėdžio darbotvarkės tvirtinimas,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-06-13,"Teisės departamento išvada dėl Laisvės gynėjo teisinio statuso įstatymo Nr. XIV-389 2, 7, 9 straipsnių pakeitimo ir Įstatymo papildymo 71 straipsniu įstatymo projekto Nr. XVP-96(2)",Nacionalinio saugumo ir gynybos komitetas,XIV-389; XVP-96,G.  JeglinskasA.  PociusG.  Kazėnas,
2025-06-13,"Principinės kariuomenės struktūros, karių ir Lietuvos kariuomenės darbuotojų, dirbančių pagal darbo sutartis ir gaunančių darbo užmokestį iš valstybės biudžeto ir valstybės pinigų fondų (išskyrus darbuotojus, gaunančius darbo užmokestį iš Europos Sąjungos struktūrinės, kitos Europos Sąjungos finansinės paramos ir tarptautinės finansinės paramos lėšų (išskyrus techninės paramos lėšas), ribinio skaičiaus patvirtinimo įstatymo Nr. XIII-2709 pakeitimo įstatymo projektas (nauja redakcija)",Nacionalinio saugumo ir gynybos komitetas,XIII-2709,G.  JeglinskasA.  PociusE.  Sinkevičius,
2025-06-13,"Principinės kariuomenės struktūros, karių ir Lietuvos kariuomenės darbuotojų, dirbančių pagal darbo sutartis ir gaunančių darbo užmokestį iš valstybės biudžeto ir valstybės pinigų fondų (išskyrus darbuotojus, gaunančius darbo užmokestį iš Europos Sąjungos struktūrinės, kitos Europos Sąjungos finansinės paramos ir tarptautinės finansinės paramos lėšų (išskyrus techninės paramos lėšas), ribinio skaičiaus patvirtinimo įstatymo Nr. XIII-2709  pakeitimo įstatymo Nr. XIV-2899 2 straipsnio pripažinimo netekusiu galios įstatymo projektas",Nacionalinio saugumo ir gynybos komitetas,XIII-2709; XIV-2899,G.  JeglinskasA.  PociusE.  Sinkevičius,
2025-06-13,"Krašto apsaugos sistemos organizavimo ir karo tarnybos įstatymo Nr. VIII-723 10, 101, 20, 38, 47, 54, 60 straipsnių ir 1, 2 priedų pakeitimo, Įstatymo papildymo 461 straipsniu įstatymo projektas Nr. XVP-481",Nacionalinio saugumo ir gynybos komitetas,VIII-723; XVP-481,G.  JeglinskasA.  PociusV.  Kaminskienė,
2025-06-13,Nacionalinio saugumo pagrindų įstatymo Nr. VIII-49 priedėlio pakeitimo įstatymo projektas Nr. XVP-482,Nacionalinio saugumo ir gynybos komitetas,VIII-49; XVP-482,G.  JeglinskasA.  PociusV.  Kaminskienė,
2025-06-13,"Poligrafo naudojimo įstatymo Nr. VIII-1906 2, 4, 5, 7, 8, 9 ir 10 straipsnių pakeitimo įstatymo projektas",Nacionalinio saugumo ir gynybos komitetas,VIII-1906,G.  JeglinskasD.  GaižauskasE.  Sinkevičius,
2025-06-13,Dėl šaudyklų ir tirų tinklo plėtros bei naudojimo problemų,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasV.  Kaminskienė,
2025-06-13,Kiti klausimai,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
2025-06-04,Posėdžio darbotvarkės tvirtinimas,Nacionalinio saugumo ir gynybos komitetas,,G.  JeglinskasE.  Sinkevičius,
