date,question,committee,project,responsible,attendees
2025-06-25,Posėdžio darbotvarkės tvirtinimas,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-06-25,"Seimo nutarimo „Dėl Lietuvos Respublikos pirmininkavimo Europos Sąjungos Tarybai 2027 metais"" projektas",Sveikatos reikalų komitetas,XVP-586,S.  ČaplinskasJ.  SejonienėB.  Sesickienė,
2025-06-25,Dėl medicininės reabilitacijos ir sanatorinio (antirecidyvinio) gydymo paslaugų organizavimo perspektyvų,Sveikatos reikalų komitetas,,O.  LeiputėR. J.  JankūnasK.  Civilkienė,
2025-06-25,Dėl sveikatos srities viešųjų pirkimų centralizavimo problemų,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  SejonienėV.  Valainytė,
2025-06-25,Kiti klausimai,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-06-18,Posėdžio darbotvarkės tvirtinimas,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-06-18,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų Privalomojo sveikatos draudimo fondo metinių ataskaitų rinkinio patvirtinimo“ projektas,Sveikatos reikalų komitetas,XVP-445,L.  Šukytė-KorsakėA.  BusilaK.  Civilkienė,
2025-06-18,"Dėl alkoholio, tabako, narkotinių ir psichotropinių medžiagų vartojimo tendencijų ir jų vartojimo prevencijos priemonių. Dėl elektroninių cigarečių vartojimo paplitimo tendencijų ir kontrolės priemonių",Sveikatos reikalų komitetas,,S.  ČaplinskasJ.  ŠuklinE.  Jankauskas,
2025-06-18,Sveikatos apsaugos ministerijos informacija dėl odontologinių paslaugų prieinamumo gerinimo pacientams su negalia,Sveikatos reikalų komitetas,,L.  UrmanavičiusJ.  SejonienėB.  Sesickienė,
2025-06-18,Kiti klausimai. Dėl kito Komiteto posėdžio,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-06-11,Posėdžio darbotvarkės tvirtinimas,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-06-11,Sveikatos priežiūros įstaigų įstatymo Nr. I-1367 15 straipsnio pakeitimo įstatymo projektas,Sveikatos reikalų komitetas,I-1367,O.  LeiputėJ.  SejonienėV.  Valainytė,
2025-06-11,Sveikatos apsaugos ministerijos informacija dėl pacientų pavėžėjimo paslaugų organizavimo,Sveikatos reikalų komitetas,,O.  LeiputėJ.  SejonienėK.  Civilkienė,
2025-06-11,Dėl naujos sudėties Nacionalinės sveikatos tarybos formavimo,Sveikatos reikalų komitetas,,S.  ČaplinskasJ.  ŠuklinE.  Jankauskas,
2025-06-11,"Tabako, tabako gaminių ir su jais susijusių gaminių kontrolės įstatymo Nr. I-1143 8-5, 9, 9-3, 9-4, 9-9, 9-10 , 9-11, 17 ir 26 straipsnių pakeitimo įstatymo projektas",Sveikatos reikalų komitetas,I-1143,E.  Jankauskas,
2025-06-11,"Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo nustatoma ypatingos svarbos vaistų prieinamumo ir tiekimo saugumo stiprinimo, taip pat bendro intereso vaistų prieinamumo bei galimybių jų gauti gerinimo sistema ir iš dalies keičiamas Reglamentas (ES) 2024/795  ( uždaras )",Sveikatos reikalų komitetas,"ES-2025-23, COM/2025/102",S.  ČaplinskasB.  Sesickienė,
2025-06-11,Kiti klausimai. Dėl kito Komiteto posėdžio,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-06-04,Posėdžio darbotvarkės tvirtinimas,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-06-04,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,Sveikatos reikalų komitetas,XVP-453,L.  Šukytė-KorsakėA.  BusilaK.  Civilkienė,
2025-06-04,Sveikatos apsaugos ministerijos informacija dėl numatomų priemonių asmens sveikatos priežiūros paslaugų laukimo eilėms mažinti ir sveikatos priežiūros paslaugų prieinamumui didinti,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  SejonienėK.  Civilkienė,
2025-06-04,Komiteto sprendimas dėl Nacionalinės imunoprofilaktikos 2024-2028 metų programos įgyvendinimo,Sveikatos reikalų komitetas,,S.  ČaplinskasR. J.  JankūnasE.  Jankauskas,
2025-06-04,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų Privalomojo sveikatos draudimo fondo metinių ataskaitų rinkinio patvirtinimo“ projektas,Sveikatos reikalų komitetas,XVP-445,K.  Civilkienė,
2025-06-04,Kiti klausimai. Dėl kito Komiteto posėdžio,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-05-28,Posėdžio darbotvarkės tvirtinimas,Sveikatos reikalų komitetas,,L.  Šukytė-Korsakė,
2025-05-28,"Akcizų įstatymo Nr. IX-569 1, 2, 3 straipsnių pakeitimo ir II skyriaus papildymo devintuoju skirsniu įstatymo projektas",Sveikatos reikalų komitetas,IX-569,L.  Šukytė-KorsakėJ.  ŠuklinE.  Jankauskas,
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-05-21,Sveikatos priežiūros įstaigų įstatymo Nr. I-1367 15 straipsnio pakeitimo įstatymo projektas,Sveikatos reikalų komitetas,I-1367,O.  LeiputėJ.  SejonienėV.  Valainytė,
2025-05-21,Sveikatos apsaugos ministerijos ir Šiaulių ligoninės informacija apie situaciją ligoninėje (SRK 2024-02-14 sprendimo Nr. 111-S-1 „Dėl Seimo Sveikatos reikalų komiteto išvažiuojamojo posėdžio į Šiaulių apskritį“ įgyvendinimas),Sveikatos reikalų komitetas,111-S-1,L.  Šukytė-KorsakėJ.  ŠuklinK.  Civilkienė,
2025-05-21,Komiteto sprendimas dėl savivaldybių visuomenės sveikatos biurų veiklos problemų,Sveikatos reikalų komitetas,,S.  ČaplinskasJ.  ŠuklinE.  Jankauskas,
2025-05-21,Reprodukcinės sveikatos įstatymo projektas,Sveikatos reikalų komitetas,XVP-286,B.  Sesickienė,
2025-05-21,Kiti klausimai. Dėl kito Komiteto posėdžio,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-05-21,Farmacijos įstatymo Nr. X-709 2 ir 35 straipsnių pakeitimo įstatymo projektas,Sveikatos reikalų komitetas,X-709,O.  LeiputėJ.  ŠuklinV.  Valainytė,
2025-05-14,"Susitikimas su Druskininkų savivaldybės, savivaldybės administracijos, ligoninės, pirminės sveikatos priežiūros centro ir visuomenės sveikatos biuro vadovais ​Vilniaus al. 18, Druskininkai",Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėL.  UrmanavičiusR. J.  JankūnasJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-05-14,"Pietų pertrauka ​Vilniaus al. 13, Druskininkai",Sveikatos reikalų komitetas,,,
2025-05-14,"Apsilankymas Druskininkų gydykloje ​Vilniaus al. 11, Druskininkai",Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėL.  UrmanavičiusR. J.  JankūnasJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-05-14,"Apsilankymas VUL Santaros klinikų vaikų reabilitacijos skyriuje Druskininkų ""Saulutė"" ​Vytauto g. 2, Druskininkai",Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėL.  UrmanavičiusR. J.  JankūnasJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-05-14,"Apsilankymas Druskininkų ligoninėje ​Sveikatos g. 30, Druskininkai",Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėL.  UrmanavičiusR. J.  JankūnasJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-05-07,Posėdžio darbotvarkės tvirtinimas,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-05-07,2025 m. kovo 5 d. Valstybės kontrolės Rekomendacijų įgyvendinimo ataskaita Nr. RAE-4,Sveikatos reikalų komitetas,RAE-4,A.  BusilaJ.  SejonienėB.  Sesickienė,
2025-05-07,Sveikatos apsaugos ministerijos informacija apie Nacionalinės imunoprofilaktikos 2024-2028 metų programos įgyvendinimą,Sveikatos reikalų komitetas,,S.  ČaplinskasR. J.  JankūnasE.  Jankauskas,
2025-05-07,Sveikatos draudimo įstatymo Nr. I-1343 8 straipsnio pakeitimo įstatymo projektas,Sveikatos reikalų komitetas,I-1343,K.  Civilkienė,
2025-05-07,"Pagalbinio apvaisinimo įstatymo Nr. XII-2608 1, 3, 5, 7, 9 ir 10 straipsnių pakeitimo įstatymo projektas",Sveikatos reikalų komitetas,XII-2608,V.  Valainytė,
2025-05-07,Kiti klausimai. Dėl kito Komiteto posėdžio,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-05-07,Sveikatos priežiūros įstaigų įstatymo Nr. I-1367 15 straipsnio pakeitimo įstatymo projektas,Sveikatos reikalų komitetas,I-1367,O.  LeiputėJ.  SejonienėV.  Valainytė,
2025-04-30,Posėdžio darbotvarkės tvirtinimas,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-04-30,Sveikatos priežiūros įstaigų įstatymo Nr. I-1367 15 straipsnio pakeitimo įstatymo projektas,Sveikatos reikalų komitetas,I-1367,O.  LeiputėJ.  SejonienėV.  Valainytė,
2025-04-30,Sveikatos apsaugos ministerijos informacija dėl psichikos sveikatos priežiūros paslaugų prieinamumo ir finansavimo iš Privalomojo sveikatos draudimo fondo lėšų,Sveikatos reikalų komitetas,,A.  BusilaJ.  SejonienėB.  Sesickienė,
2025-04-30,"Dėl savivaldybių visuomenės sveikatos biurų veiklos rezultatų ir problemų, su kuriomis susiduriama (finansavimas, žmogiškieji ištekliai, ataskaitos, metodologinis veiklos koordinavimas ir kt.)",Sveikatos reikalų komitetas,,S.  ČaplinskasJ.  ŠuklinE.  Jankauskas,
2025-04-30,Kiti klausimai. Dėl kito Komiteto posėdžio,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-04-23,"Sveikatos apsaugos ministerijos ir Klaipėdos universiteto ligoninės informacija apie Klaipėdos universiteto ligoninės 2024 m. finansinę situaciją, veiklą ir 2025 m. planus",Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėA.  BusilaJ.  SejonienėJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-04-23,Susitikimas su Klaipėdos universiteto ligoninės darbuotojais,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėA.  BusilaJ.  SejonienėJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-04-23,Apsilankymas Klaipėdos universiteto ligoninėje,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėA.  BusilaJ.  SejonienėJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-04-23,Pietų pertrauka,Sveikatos reikalų komitetas,,,
2025-04-23,Apsilankymas Respublikinėje Klaipėdos ligoninėje. Susitikimas su Respublikinės Klaipėdos ligoninės administracija,Sveikatos reikalų komitetas,,L.  Šukytė-KorsakėA.  BusilaJ.  SejonienėJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
