date,question,committee,project,responsible,attendees
2025-06-25,Posėdžio darbotvarkės tvirtinimas,Švietimo ir mokslo komitetas,,V.  AleknavičienėL.  Vingrytė,
2025-06-25,Dėl Lietuvos ekonomikos gaivinimo ir atsparumo didinimo plano rodiklių pasiekimo,Švietimo ir mokslo komitetas,,S.  KairysL.  Vingrytė,
2025-06-25,"Seimo nutarimo „Dėl Lietuvos Respublikos pirmininkavimo Europos Sąjungos Tarybai 2027 metais"" projektas",Švietimo ir mokslo komitetas,XVP-586,V.  AleknavičienėR.  Morkūnaitė-MikulėnienėJ.  Varžgalytė-Tiažkijienė,
2025-06-25,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, EUROPOS VADOVŲ TARYBAI, TARYBAI, EUROPOS EKONOMIKOS IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETUI Įgūdžių sąjunga",Švietimo ir mokslo komitetas,"ES-2025-25, COM/2025/90",V.  AleknavičienėJ.  Varžgalytė-Tiažkijienė,
2025-06-25,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, TARYBAI, EUROPOS EKONOMIKOS IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETUI Pagrindinių įgūdžių veiksmų planas",Švietimo ir mokslo komitetas,"ES-2025-35, COM/2025/88",,
2025-06-25,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, TARYBAI, EUROPOS EKONOMIKOS IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETUI Strateginis gamtos mokslų, technologijų, inžinerijos ir matematikos mokymo planas: konkurencingumo ir inovacijų įgūdžiai",Švietimo ir mokslo komitetas,"ES-2025-36, COM/2025/89",,
2025-06-25,"Dėl naujo STEAM finansavimo modelio
Trumpai prie direktyvos pristatys esamą situaciją",Švietimo ir mokslo komitetas,,V.  AleknavičienėR.  Steponėnienė,
2025-06-25,Kiti klausimai,Švietimo ir mokslo komitetas,,V.  AleknavičienėL.  Vingrytė,
2025-06-18,Posėdžio darbotvarkės tvirtinimas,Švietimo ir mokslo komitetas,,V.  AleknavičienėL.  Vingrytė,
2025-06-18,Dėl kolegijų binarinėje aukštojo mokslo sistemoje,Švietimo ir mokslo komitetas,,V.  AleknavičienėR.  Steponėnienė,
2025-06-18,Pertrauka,Švietimo ir mokslo komitetas,,,
2025-06-18,Dėl kolegijų indėlio į mokslą ir inovacijas,Švietimo ir mokslo komitetas,,V.  AleknavičienėR.  Steponėnienė,
2025-06-18,"Kiti klausimai:
1.	Dėl gauto rašto.
2.	Dėl kito posėdžio darbotvarkės.",Švietimo ir mokslo komitetas,,V.  AleknavičienėL.  Vingrytė,
2025-06-11,Posėdžio darbotvarkės tvirtinimas,Švietimo ir mokslo komitetas,,I.  KižienėV.  Aleknavičienė,
2025-06-11,"Įtraukties švietime apžvalga, švietimo pagalbos specialistų trūkumo ir rengimo tvarkos klausimai",Švietimo ir mokslo komitetas,,I.  KižienėV.  AleknavičienėI.  ŽukauskaitėD.  Žegunė,
2025-06-11,Kiti klausimai,Švietimo ir mokslo komitetas,,I.  KižienėV.  Aleknavičienė,
