date,question,committee,project,responsible,attendees
2025-06-09,Posėdžio darbotvarkės tvirtinimas,Teisės ir teisėtvarkos komitetas,,J.  SabatauskasD.  Komparskienė,
2025-06-09,Sveikatos sistemos įstatymo Nr. I-552 11 ir 49 straipsnių pakeitimo įstatymo projektas Nr. XVP-518 (svarstymo dėl atitikties Konstitucijai tęsinys),Teisės ir teisėtvarkos komitetas,I-552; XVP-518,J.  SabatauskasV.  GailiusM.  CivilkienėI.  Leonavičiūtė,
2025-06-09,"Sveikatos draudimo įstatymo Nr. I-1343 9, 10 ir 26 straipsnių pakeitimo įstatymo projektas Nr. XVP-519 (svarstymo dėl atitikties Konstitucijai tęsinys)",Teisės ir teisėtvarkos komitetas,I-1343; XVP-519,J.  SabatauskasV.  GailiusM.  CivilkienėI.  Leonavičiūtė,
2025-06-09,Dėl Seimo narės Giedrės Balčytytės prašymo pritarti komandiruotei į Lilestromą (Norvegijos karalystė) 2025 m. birželio 22–25 dienomis,Teisės ir teisėtvarkos komitetas,,J.  Sabatauskas,
2025-06-11,Posėdžio darbotvarkės tvirtinimas,Teisės ir teisėtvarkos komitetas,,J.  SabatauskasD.  Komparskienė,
2025-06-11,"Teisės departamento išvada dėl Vartotojų teisių apsaugos įstatymo Nr. I-657 1, 2, 40 straipsnių, aštuntojo skirsnio ir priedo pakeitimo įstatymo projekto Pateikė Teisės ir teisėtvarkos komitetas",Teisės ir teisėtvarkos komitetas,I-657,J.  SabatauskasI.  VėgėlėM.  Civilkienė,
2025-06-11,"Teisės departamento išvada dėl Administracinių nusižengimų kodekso 12, 294, 295, 301, 302, 589 straipsnių ir priedo pakeitimo įstatymo projekto Pateikė Teisės ir teisėtvarkos komitetas",Teisės ir teisėtvarkos komitetas,XVP-32(2),A.  ŠirinskienėV.  GailiusD.  LatvelienėL.  Zdanavičienė,
2025-06-11,"Civilinio proceso kodekso 649, 702, 704 ir 746 straipsnių pakeitimo įstatymo projektas Pateikė Lietuvos Respublikos Vyriausybė",Teisės ir teisėtvarkos komitetas,XVP-300,A.  ŠirinskienėI.  VėgėlėD.  KomparskienėM.  Civilkienė,
2025-06-11,Pagrindinis (svarstymas),Teisės ir teisėtvarkos komitetas,"Civilinio proceso kodekso 604, 605, 609, 610, 611, 620, 650, 654, 679, 682, 727, 728, 733, 737, 744, 750, 753, 754, 766, 767, 769 ir 778 straipsnių pakeitimo įstatymo Nr. XIII-2721 23 straipsnio pakeitimo įstatymo projektasPateikė Lietuvos Respublikos Vyriausybė",,
2025-06-11,Pagrindinis (svarstymas),Teisės ir teisėtvarkos komitetas,"Civilinio proceso kodekso 82, 108, 145, 192, 590, 593, 596, 601, 602, 609, 610, 611, 614, 624-1, 626, 627, 631, 632, 634, 636, 648, 650, 651, 654, 656, 661, 663, 668, 685, 689, 702, 706, 710, 713, 723, 727, 731, 732, 753, 754, 755 ir 771-1 straipsnių pakeitimo įstatymo Nr. XIV-2317 43 straipsnio pakeitimo įstatymo projektasPateikė Lietuvos Respublikos Vyriausybė",,
2025-06-11,Pagrindinis (svarstymas),Teisės ir teisėtvarkos komitetas,Civilinio kodekso 5.53 straipsnio pakeitimo įstatymo projektasPateikė Lietuvos Respublikos Vyriausybė,,
2025-06-11,Baudžiamojo  kodekso 68-1 ir 228 straipsnių pakeitimo įstatymo projektas Pateikė Jūratė Zailskienė,Teisės ir teisėtvarkos komitetas,XVP-106,J.  SabatauskasV.  GailiusD.  Latvelienė,
