date,question,committee,project_id,responsible_actor,invited_presenters
2025-05-28,Posėdžio darbotvarkės tvirtinimas,Užsienio reikalų komitetas,,R.  BudbergytėD.  Asevičienė,
2025-05-28,"Ministro ataskaita apie  Europos Sąjungos Bendrųjų reikalų tarybos posėdį, vykusį 2025 m. balandžio 27 d. (",Užsienio reikalų komitetas,,R.  BaranovasA.  LydekaM.  Lukoševičius,
2025-05-28,Kviečiami dalyvauti:,Užsienio reikalų komitetas,,R.  BaranovasA.  LydekaM.  Lukoševičius,
2025-05-28,Užsienio reikalų ministras Kęstutis Budrys,Užsienio reikalų komitetas,,R.  BaranovasA.  LydekaM.  Lukoševičius,
2025-05-28,Posėdžio darbotvarkės tvirtinimas,Užsienio reikalų komitetas,,R.  MotuzasE.  Zelenka,
2025-05-28,Ministro ataskaita apie 2025 m. gegužės 20 d. Europos Sąjungos Užsienio reikalų tarybos (gynybos klausimais) posėdį  (,Užsienio reikalų komitetas,,R.  MotuzasL.  Plyniuvienė,
2025-05-28,Ministro ataskaita apie 2025 m. gegužės 20 d. Europos Sąjungos Užsienio reikalų tarybos posėdį (,Užsienio reikalų komitetas,,R.  MotuzasJ.  Valantinas,
2025-05-28,"Ministro ataskaita apie Europos Sąjungos Užsienio reikalų tarybos (vystymosi klausimais) posėdį, vykusį 2025 m. gegužės 26 d. (",Užsienio reikalų komitetas,,R.  MotuzasL.  Plyniuvienė,
2025-05-28,Užsienio reikalų ministerijos Vystomojo bendradarbiavimo ir paramos demokratijai programos įgyvendinimo 2024 metų ataskaita,Užsienio reikalų komitetas,,R.  MotuzasL.  Plyniuvienė,
2025-05-28,Įstatymo „Dėl Energetikos chartijos sutarties denonsavimo“ projektas,Užsienio reikalų komitetas,XVP-380,L.  BalsysA.  LydekaL.  Plyniuvienė,
2025-05-28,Kiti klausimai,Užsienio reikalų komitetas,,R.  MotuzasE.  Zelenka,
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Užsienio reikalų komitetas,,R.  BudbergytėD.  Asevičienė,
2025-05-21,Lietuvos Respublikos pozicijų pristatymas prieš vykstant į  Europos Sąjungos Bendrųjų reikalų tarybos 2025 m. gegužės 27 d. posėdį (,Užsienio reikalų komitetas,,R.  MotuzasV.  Čmilytė-NielsenM.  Lukoševičius,
2025-05-21,Kviečiami dalyvauti:,Užsienio reikalų komitetas,,R.  MotuzasV.  Čmilytė-NielsenM.  Lukoševičius,
2025-05-21,Užsienio reikalų ministras Kęstutis Budrys,Užsienio reikalų komitetas,,R.  MotuzasV.  Čmilytė-NielsenM.  Lukoševičius,
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Užsienio reikalų komitetas,,R.  MotuzasE.  Zelenka,
2025-05-21,Ministro ataskaita apie 2025 m. gegužės 15 d. Europos Sąjungos Užsienio reikalų tarybos (prekybos klausimais) posėdį (,Užsienio reikalų komitetas,,R.  MotuzasL.  Plyniuvienė,
2025-05-21,Lietuvos Respublikos pozicijų pristatymas prieš Europos Sąjungos Užsienio reikalų tarybos (vystymosi klausimais) 2025 m. gegužės 26 d. posėdį  (,Užsienio reikalų komitetas,,R.  MotuzasL.  Plyniuvienė,
2025-05-21,Kiti klausimai,Užsienio reikalų komitetas,,R.  MotuzasE.  Zelenka,
2025-05-14,Posėdžio darbotvarkės tvirtinimas,Užsienio reikalų komitetas,,R.  MotuzasE.  Zelenka,
2025-05-14,Ministro informacija apie 2024 m. gegužės 7–8 d. vykusį neformalų Europos Sąjungos užsienio reikalų ministrų (Gymnich) susitikimą  (,Užsienio reikalų komitetas,,R.  MotuzasI.  Milašiūtė,
2025-05-14,Lietuvos Respublikos pozicijų pristatymas prieš Europos Sąjungos Užsienio reikalų tarybos 2025 m. gegužės 20 d. posėdį  (,Užsienio reikalų komitetas,,R.  MotuzasI.  Milašiūtė,
2025-05-14,Lietuvos Respublikos pozicijų pristatymas prieš Europos Sąjungos Užsienio reikalų tarybos (prekybos klausimais) 2025 m. gegužės 15 d. posėdį  (,Užsienio reikalų komitetas,,R.  MotuzasL.  Plyniuvienė,
2025-05-14,Lietuvos Respublikos pozicijų pristatymas prieš Europos Sąjungos Užsienio reikalų tarybos (gynybos klausimais) 2025 m. gegužės 20 d. posėdį (,Užsienio reikalų komitetas,,R.  MotuzasI.  Milašiūtė,
2025-05-14,Diplomatinės tarnybos įstatymo Nr. VIII-1012 pakeitimo įstatymo projektas,Užsienio reikalų komitetas,XIVP-4249,R.  MotuzasA.  AžubalisL.  Plyniuvienė,
2025-05-14,Kiti klausimai,Užsienio reikalų komitetas,,R.  MotuzasE.  Zelenka,
