date,question,committee,project,responsible,attendees
2025-06-25,Posėdžio darbotvarkės tvirtinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-06-25,"2025 m. birželio 6 d. išankstinio tyrimo ataskaita Nr. ITE-1 ,,Gyventojų perspėjimo sistemos modernizavimas, kolektyvinės apsaugos statinių ir priedangų plėtra“ Kviečiami dalyvauti: ​1. Valstybės kontrolė; 2. Vidaus reikalų ministerija; 3. Priešgaisrinės apsaugos ir gelbėjimo departamentas prie VRM.",Valstybės valdymo ir savivaldybių komitetas,ITE-1,K.  BiliusV.  RakutisD.  Masaitienė,
2025-06-25,Vietos savivaldos įstatymo Nr. I-533 3 ir 22 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Seimo nariai: Simonas Gentvilas; Robertas Kaunas; Aistė Gedvilienė; Mindaugas  Lingė.​,Valstybės valdymo ir savivaldybių komitetas,I-533,D.  ŽebelienėR.  TamašunienėA.  PetrošiusD.  Masaitienė,
2025-06-25,"Valstybės ir savivaldybių turto valdymo, naudojimo ir disponavimo juo įstatymo Nr. VIII-729 14 ir 15 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Seimo narys Linas Urmanavičius​; 2. Finansų ministerija; 3. Lietuvos savivaldybių asociacija.",Valstybės valdymo ir savivaldybių komitetas,VIII-729,S.  LuščikasR.  JuškaD.  Pukytė,
2025-06-25,Vyriausiosios tarnybinės etikos komisijos įstatymo Nr. X-1666 18 ir 29 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Vyriausiosios tarnybinės etikos komisija.,Valstybės valdymo ir savivaldybių komitetas,X-1666,T.  BarauskasV.  ŠeršniovasG.  Lukošiūnienė,
2025-06-25,Kiti klausimai,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-06-18,Posėdžio darbotvarkės tvirtinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-06-18,"Viešojo administravimo įstatymo Nr. VIII-1234 1, 2, 5, 9, 10, 12, 19, 23, 24, 29, 30, 31, 33, 35, 37, 40 straipsnių ir IV skyriaus pavadinimo pakeitimo, Įstatymo papildymo III-1 skyriumi, 33-1 straipsniu ir priedu bei 29 straipsnio pripažinimo netekusiu galios įstatymo projektas Kviečiami dalyvauti: ​1. Seimo narys Lukas Savickas; 2. Ekonomikos ir inovacijų ministerija; 3. Vidaus reikalų ministerija; 4. Teisingumo ministerija; 5. Lietuvos advokatūra.",Valstybės valdymo ir savivaldybių komitetas,VIII-1234,D.  GriškevičiusA.  PetrošiusG.  Lukošiūnienė,
2025-06-18,Pagrindinis (svarstymo tęsinys),Valstybės valdymo ir savivaldybių komitetas,Paslaugų įstatymo Nr. XI-570 pakeitimo įstatymo projektasKviečiami dalyvauti:​1. Ekonomikos ir inovacijų ministerija.,,
2025-06-18,Pasirengimo steigti Regionų ministeriją eigos stebėsena Kviečiami dalyvauti: ​1. Vidaus reikalų ministerija; 2. Ministro Pirmininko patarėjas regionų politikos klausimais Povilas Saulevičius; 3. Regionų plėtros tarybų pirmininkai; 4. Lietuvos savivaldybių asociacija.,Valstybės valdymo ir savivaldybių komitetas,,M.  KatelynasR.  JuškaR.  Mačiulytė,
2025-06-18,Nevyriausybinių organizacijų plėtros įstatymo Nr. XII-717 8 ir 10 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: 1. Seimo narė Roma Janušonienė; 2. Socialinės apsaugos ir darbo ministerija; 3.  Nacionalinė NVO koalicija; 4. NVO teisės institutas. ​,Valstybės valdymo ir savivaldybių komitetas,XII-717,M.  KatelynasA.  PetrošiusG.  Lukošiūnienė,
2025-06-18,"Seimo nutarimo „Dėl Lietuvos Respublikos pirmininkavimo Europos Sąjungos Tarybai 2027 metais"" projektas",Valstybės valdymo ir savivaldybių komitetas,XVP-586,D.  GriškevičiusV.  RakutisR.  Mačiulytė,
2025-06-18,Kiti klausimai,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-06-11,Posėdžio darbotvarkės tvirtinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  VilkauskasK.  BiliusR.  VaranauskienėK.  Šimkutė,
2025-06-11,"Tyrimo ""Savivaldybių veiklos kultūros paveldo apsaugos srityje 2023 metais"" pristatymas",Valstybės valdymo ir savivaldybių komitetas,,K.  VilkauskasV.  JuozapaitisK.  BiliusR.  JuškaM.  GureckienėD.  Pukytė,
2025-06-11,Kultūros politika regionuose kaip atskirties mažinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  VilkauskasV.  JuozapaitisK.  BiliusR.  JuškaA.  JonaitienėD.  Pukytė,
2025-06-11,Kiti klausimai,Valstybės valdymo ir savivaldybių komitetas,,K.  VilkauskasK.  BiliusR.  VaranauskienėK.  Šimkutė,
2025-06-11,Posėdžio darbotvarkės tvirtinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-06-11,"Vietos savivaldos įstatymo Nr. I-533 3, 12 ir 22 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: 1. ​Lietuvos savivaldybių asociacija; 2. Vyriausybės atstovų įstaiga; 3. Vidaus reikalų ministerija. ​",Valstybės valdymo ir savivaldybių komitetas,I-533,D.  ŽebelienėR.  TamašunienėA.  PetrošiusD.  Masaitienė,
2025-06-11,Pagrindinis (svarstymas),Valstybės valdymo ir savivaldybių komitetas,Vietos savivaldos įstatymo Nr. I-533 3 ir 17 straipsnių pakeitimo įstatymo projektasKviečiami dalyvauti:1. Seimo narys Mindaugas Lingė;2. ​Lietuvos savivaldybių asociacija;3.Vyriausybės atstovų įstaiga;​4. Vidaus reikalų ministerija.,,
2025-06-11,Vyriausiosios tarnybinės etikos komisijos įstatymo Nr. X-1666 18 ir 29 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Vyriausioji tarnybinės etikos komisija; 2. Valstybinė duomenų apsaugos inspekcija; 3. Teisingumo ministerijos Europos Sąjungos teisės grupė.,Valstybės valdymo ir savivaldybių komitetas,X-1666,T.  BarauskasV.  ŠeršniovasG.  Lukošiūnienė,
2025-06-11,Kiti klausimai,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-06-04,Posėdžio darbotvarkės tvirtinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-06-04,"Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas Kviečiami dalyvauti: ​1. Finansų ministerija, 2. Vidaus reikalų ministerija, 3. Valstybės kontrolė.",Valstybės valdymo ir savivaldybių komitetas,XVP-453,T.  BarauskasR.  JuškaR.  Mačiulytė,
2025-06-04,Ataskaitų išklausymas,Valstybės valdymo ir savivaldybių komitetas,2025 m. gegužės 15 d. valstybinio audito ataskaita Nr. FAE-2 „2024 metų valstybės ataskaitų rinkinio finansinio audito rezultatai“Kviečiami dalyvauti:​1. Valstybės kontrolė.,,
2025-06-04,Nevyriausybinių organizacijų plėtros įstatymo Nr. XII-717 10 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Seimo narys Andrius Bagdonas; 2. Socialinės apsaugos ir darbo ministerija; 3. Finansų ministerija; 4. Nacionalinė NVO koalicija; 5. NVO teisės institutas.,Valstybės valdymo ir savivaldybių komitetas,XII-717,M.  KatelynasA.  PetrošiusG.  Lukošiūnienė,
2025-06-04,"Rinkimų kodekso patvirtinimo, įsigaliojimo ir įgyvendinimo konstitucinio įstatymo Nr. XIV-1381 79 ir 80 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: 1. Vyriausioji rinkimų komisija; 2. Valstybinė duomenų apsaugos inspekcija; 3. Teisingumo ministerija; 4. Seimo narys Viktoras Fiodorovas.",Valstybės valdymo ir savivaldybių komitetas,XIV-1381,T.  BarauskasR.  JuškaR.  Mačiulytė,
2025-06-04,Rinkimų kodekso 89 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Vyriausioji rinkimų komisija; 2. Teisingumo ministerija; 3. Seimo narys Antanas Nedzinskas.,Valstybės valdymo ir savivaldybių komitetas,XVP-41,T.  BarauskasR.  JuškaR.  Mačiulytė,
2025-06-04,Kiti klausimai,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-06-02,Posėdžio darbotvarkės tvirtinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-06-02,Valstybės gynybos fondo įstatymo Nr. XIV-2775 2 ir 4 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Lietuvos savivaldybių asociacija; 2. Finansų ministerija; 3. Seimo narė Gintarė Skaistė.,Valstybės valdymo ir savivaldybių komitetas,XIV-2775,K.  BiliusV.  ŠeršniovasM.  KatelynasD.  MasaitienėG.  Lukošiūnienė,
2025-06-02,"Nekilnojamojo turto mokesčio įstatymo Nr. X-233 pakeitimo įstatymo projektas (nauja redakcija) Kviečiami dalyvauti: ​1. Lietuvos savivaldybių asociacija; 2. Finansų ministerija;​ 3. Seimo nariai: Algirdas Sysas, Arūnas Skardžius, Bronis Ropė, Gintarė Skaistė, Karolis Neimantas, Martynas Gedvilas, Tomas Tomilinas, Viktoras Fiodorovas.",Valstybės valdymo ir savivaldybių komitetas,X-233,K.  BiliusV.  ŠeršniovasM.  KatelynasD.  MasaitienėG.  Lukošiūnienė,
2025-06-02,Kiti klausimai,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Valstybės valdymo ir savivaldybių komitetas,,K.  BiliusK.  Šimkutė,
2025-05-21,"Valstybės ir savivaldybių turto valdymo, naudojimo ir disponavimo juo įstatymo Nr. VIII-729 pakeitimo įstatymo projektas (nauja redakcija) Kviečiami dalyvauti: ​1. Finansų ministerija; 2. Lietuvos savivaldybių asociacija; 3. Seimo Audito komitetas.",Valstybės valdymo ir savivaldybių komitetas,VIII-729,S.  LuščikasR.  JuškaD.  Pukytė,
2025-05-21,Papildomas (svarstymas),Valstybės valdymo ir savivaldybių komitetas,"Valstybės ir savivaldybių turto valdymo, naudojimo ir disponavimo juo įstatymo Nr. VIII-729 5, 6, 10, 12, 14, 15, 16, 19, 20, 21, 24 straipsnių pakeitimo ir 18 straipsnio pripažinimo netekusiu galios įstatymo Nr. XIII-2398 13 straipsnio pakeitimo įstatymo projektas",,
