date,question,committee,project_id,responsible_actor,invited_presenters
2025-05-28,Posėdžio darbotvarkės tvirtinimas,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
2025-05-28,Žurnalistų etikos inspektoriaus tarnybos 2024 m. veiklos ataskaitos klausymai (parlamentinė kontrolė),Žmogaus teisių komitetas,,L.  ŠedvydisE. G.  Gibė,
2025-05-28,Seimo nutarimo „Dėl Dainiaus Radzevičiaus skyrimo žurnalistų etikos inspektoriumi“ projektas Nr. XVP-364,Žmogaus teisių komitetas,,L.  ŠedvydisE. G.  Gibė,
2025-05-28,Įstatymo „Dėl užsieniečių teisinės padėties“ Nr. IX-2206 28 straipsnio pakeitimo įstatymo projektas,Žmogaus teisių komitetas,XVP-154,L.  ŠedvydisM.  MaldeikisR.  Ragaliauskienė,
2025-05-28,Labdaros ir paramos įstatymo Nr. I-172 7 straipsnio 1-1 dalies pakeitimo įstatymo projektas,Žmogaus teisių komitetas,XVP-110,L.  ŠedvydisM.  MaldeikisE. G.  Gibė,
2025-05-28,Kiti klausimai.,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
2025-05-28,Dėl kito komiteto posėdžio darbotvarkės.,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
2025-05-21,"Susirinkimų įstatymo Nr. I-317 4, 6, 7, 8, 9, 12 ir 14 straipsnių pakeitimo įstatymo projektas",Žmogaus teisių komitetas,XVP-108,L.  ŠedvydisM.  MaldeikisI.  Strazdė,
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
2025-05-21,"Pasiūlymas dėl Europos Parlamento ir Tarybos reglamento, kuriuo nustatoma bendra neteisėtai Sąjungoje esančių trečiųjų šalių piliečių grąžinimo sistema ir panaikinama Europos Parlamento ir Tarybos direktyva 2008/115/EB, Tarybos direktyva 2001/40/EB ir Tarybos sprendimas 2004/191/EB (",Žmogaus teisių komitetas,"ES-2025-24, COM/2025/101",R.  Ragaliauskienė,
2025-05-21,"Lygių galimybių įstatymo Nr. IX-1826 2, 5, 6, 7, 8 ir 9 straipsnių pakeitimo įstatymo projektas",Žmogaus teisių komitetas,XVP-291,R.  Ragaliauskienė,
2025-05-21,Sveikatos draudimo įstatymo Nr. I-1343 6 straipsnio pakeitimo įstatymo projektas,Žmogaus teisių komitetas,XVP-293,R.  Ragaliauskienė,
2025-05-21,Valstybinės duomenų apsaugos inspekcijos  2024 m. veiklos ataskaitos klausymai,Žmogaus teisių komitetas,,L.  ŠedvydisR.  Ragaliauskienė,
2025-05-21,Kiti klausimai,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
2025-05-14,Posėdžio darbotvarkės tvirtinimas,Žmogaus teisių komitetas,,L.  ŠedvydisR.  Ragaliauskienė,
2025-05-14,Administracinių bylų teisenos įstatymo Nr. VIII-1029 156 straipsnio pakeitimo įstatymo projektas,Žmogaus teisių komitetas,XVP-360,L.  ŠedvydisR.  Ragaliauskienė,
2025-05-14,Vaiko teisių apsaugos kontrolieriaus įstaigos 2024 m. veiklos ataskaitos pristatymas,Žmogaus teisių komitetas,,L.  ŠedvydisE. G.  Gibė,
